
[00:00:00.000 --> 00:00:05.000]   [MUSIC]
[00:13:45.080 --> 00:13:47.480]   A lot of the benchmarks for these embedding-based systems
[00:13:47.480 --> 00:13:49.320]   are like needle in the haystack problems.
[00:13:49.320 --> 00:13:52.560]   Like I want to find this one particular piece of information
[00:13:52.560 --> 00:13:54.600]   out of all this potential context.
[00:13:54.600 --> 00:13:56.680]   That's not really what actually is necessary
[00:13:56.680 --> 00:13:57.600]   for doing software engineering
[00:13:57.600 --> 00:14:00.000]   because code is a super distributed knowledge store.
[00:14:00.000 --> 00:14:01.320]   You actually want to pull in snippets
[00:14:01.320 --> 00:14:02.720]   from a lot of different parts of the code-based
[00:14:02.720 --> 00:14:04.120]   in order to do the work, right?
[00:14:04.120 --> 00:14:07.320]   And so we built systems that instead of looking
[00:14:07.320 --> 00:14:08.680]   at retrieval at one,
[00:14:08.680 --> 00:14:09.960]   you're looking at retrieval at like 50,
[00:14:09.960 --> 00:14:12.280]   like thinking one of the 50 highest things
[00:14:12.280 --> 00:14:13.120]   that you can actually retrieve.
[00:14:13.120 --> 00:14:16.280]   And are you capturing all of the necessary pieces for that?
[00:14:16.280 --> 00:14:17.480]   And what are all the necessary pieces?
[00:14:17.480 --> 00:14:19.960]   Well, you can look again back at old commits
[00:14:19.960 --> 00:14:21.800]   and see over all the different files
[00:14:21.800 --> 00:14:24.280]   that together were edited to make a commit
[00:14:24.280 --> 00:14:26.360]   because those are semantically similar things
[00:14:26.360 --> 00:14:27.880]   that might not actually show
[00:14:27.880 --> 00:14:30.000]   if you actually try to map out a code graph, right?
[00:14:30.000 --> 00:14:32.040]   And so we can actually build these kind of golden sets.
[00:14:32.040 --> 00:14:34.240]   We can do this evaluation even for sub-problems
[00:14:34.240 --> 00:14:35.440]   in the overall task.
[00:14:35.440 --> 00:14:37.040]   And so now we have like an engineering team
[00:14:37.040 --> 00:14:38.600]   that can iterate on all of these things
[00:14:38.600 --> 00:14:40.400]   and still make sure that the end goal
[00:14:40.400 --> 00:14:42.400]   that we're trying to build too is like really, really strong.
[00:14:42.400 --> 00:14:44.120]   So we have confidence in what we're pushing out.
[00:14:44.120 --> 00:14:46.760]   - And by the way, just to talk with one more thing
[00:14:46.760 --> 00:14:47.840]   about the sweep bench thing,
[00:14:47.840 --> 00:14:49.960]   just to showcase these existing metrics,
[00:14:49.960 --> 00:14:51.480]   I think benchmarks are not a bad thing.
[00:14:51.480 --> 00:14:52.320]   You do want benchmarks.
[00:14:52.320 --> 00:14:54.120]   Actually, like I would prefer if there are benchmarks
[00:14:54.120 --> 00:14:56.680]   versus let's say everything was just vibes, right?
[00:14:56.680 --> 00:14:58.600]   But vibes are also very important, by the way,
[00:14:58.600 --> 00:15:01.280]   because they showcase where the benchmark is not valuable
[00:15:01.280 --> 00:15:02.840]   because actually vibes sometimes show you
[00:15:02.840 --> 00:15:05.920]   where criminal issues are sort of exist in the benchmark.
[00:15:05.920 --> 00:15:07.160]   But like you look at some of the ways
[00:15:07.160 --> 00:15:08.640]   in which people have optimized sweep bench,
[00:15:08.640 --> 00:15:11.120]   it's like make sure to run PyTest every time X happens.
[00:15:11.120 --> 00:15:12.520]   And it's like, yeah, like sure,
[00:15:12.520 --> 00:15:14.240]   you can start like prompting it
[00:15:14.240 --> 00:15:15.760]   in like every single possible way.
[00:15:15.760 --> 00:15:18.080]   And like if you remove that suddenly, it doesn't get good at it.
[00:15:18.080 --> 00:15:19.960]   It's like, what really matters here?
[00:15:19.960 --> 00:15:23.040]   What really matters here is like across a broad set of tasks,
[00:15:23.040 --> 00:15:26.160]   you're performing like high quality sort of suggestions
[00:15:26.160 --> 00:15:27.840]   for people and people love using the product.
[00:15:27.840 --> 00:15:30.040]   And I think actually like the way these things work
[00:15:30.040 --> 00:15:31.240]   is beyond a certain point.
[00:15:31.240 --> 00:15:33.080]   Because yes, I actually think that it's valuable
[00:15:33.080 --> 00:15:33.920]   beyond a certain point.
[00:15:33.920 --> 00:15:36.200]   But once it starts hitting the peak of these benchmarks,
[00:15:36.200 --> 00:15:39.640]   getting the last 10%, actually probably is like counterintuitive
[00:15:39.640 --> 00:15:41.760]   to the actual goal of what the benchmark was.
[00:15:41.760 --> 00:15:43.880]   Like you probably should find a new hill to climb
[00:15:43.880 --> 00:15:46.680]   rather than sort of p-hacking or really optimizing
[00:15:46.680 --> 00:15:49.200]   for how you can get higher on the benchmark.
[00:15:49.200 --> 00:15:50.920]   - Yeah, we did an episode with Anthropic
[00:15:50.920 --> 00:15:52.800]   about their recent like three agents,
[00:15:52.800 --> 00:15:54.280]   sweep bench results.
[00:15:54.280 --> 00:15:56.520]   And we talked about the human email versus sweep bench.
[00:15:56.520 --> 00:15:58.880]   And or like human email, it's kind of like a green field
[00:15:58.880 --> 00:16:00.960]   benchmark, you know, you need to be good at that.
[00:16:00.960 --> 00:16:02.200]   Sweep bench is more accessing.
[00:16:02.200 --> 00:16:05.000]   But it sounds like, I mean, your email creation
[00:16:05.000 --> 00:16:07.360]   is similar to sweep bench as far as like using
[00:16:07.360 --> 00:16:09.240]   get up commits and kind of like the history.
[00:16:09.240 --> 00:16:12.160]   But then it's more like masking at the commit level
[00:16:12.160 --> 00:16:13.720]   versus just testing the output.
[00:16:13.720 --> 00:16:14.560]   - That's right.
[00:16:14.560 --> 00:16:15.480]   - Of the thing.
[00:16:15.480 --> 00:16:16.320]   - Cool.
[00:16:16.320 --> 00:16:17.520]   - We have some listener questions actually
[00:16:17.520 --> 00:16:18.520]   about the Windsor launch.
[00:16:18.520 --> 00:16:20.440]   And obviously I also want to give you the chance
[00:16:20.440 --> 00:16:22.120]   to just respond to Hacker News.
[00:16:22.120 --> 00:16:23.440]   (laughing)
[00:16:23.440 --> 00:16:24.280]   - Oh man.
[00:16:24.280 --> 00:16:25.120]   - Oh man.
[00:16:25.120 --> 00:16:28.200]   - Hey, let me tell you something very, very interesting.
[00:16:28.200 --> 00:16:31.000]   I love Hacker News as much as the next person.
[00:16:31.000 --> 00:16:33.080]   But the moment we launched our product,
[00:16:33.080 --> 00:16:35.160]   the first comment, I like, this was a year ago,
[00:16:35.160 --> 00:16:37.680]   the first comment was, this product is a virus.
[00:16:37.680 --> 00:16:38.520]   And we were like--
[00:16:38.520 --> 00:16:40.520]   - Like the original coding launched like two years ago?
[00:16:40.520 --> 00:16:41.360]   - This is the original.
[00:16:41.360 --> 00:16:43.320]   - Like I am analyzing the binary
[00:16:43.320 --> 00:16:45.160]   as we speak, we'll report back.
[00:16:45.160 --> 00:16:47.680]   - And then he was like, it's a virus.
[00:16:47.680 --> 00:16:49.960]   And I was like, dude, like, it's not a virus.
[00:16:49.960 --> 00:16:51.440]   (laughing)
[00:16:51.440 --> 00:16:53.200]   - We just want to give autocomplete suggestions.
[00:16:53.200 --> 00:16:54.360]   That's all we want to do.
[00:16:54.360 --> 00:16:55.200]   - Yeah.
[00:16:55.200 --> 00:16:56.040]   - Okay, it was.
[00:16:56.040 --> 00:16:56.880]   - Oh, okay.
[00:16:56.880 --> 00:16:57.720]   - I didn't expect that.
[00:16:57.720 --> 00:16:58.920]   - And then there was like Teodrama.
[00:16:58.920 --> 00:17:01.240]   There's enough drama on the launch to cover.
[00:17:01.240 --> 00:17:04.920]   But I don't know if we want to just make this a cascade piece.
[00:17:04.920 --> 00:17:06.680]   But we had a bunch of people in our Discord
[00:17:06.680 --> 00:17:08.440]   try out the product, give a lot of feedback.
[00:17:08.440 --> 00:17:10.080]   One question people have is like,
[00:17:10.080 --> 00:17:12.760]   to them, cascade already felt pretty agentic.
[00:17:12.760 --> 00:17:15.000]   Like, is that something you want to do more of?
[00:17:15.000 --> 00:17:17.480]   You know, obviously, since it just launched an idea,
[00:17:17.480 --> 00:17:19.200]   you're kind of like, you're focusing on
[00:17:19.200 --> 00:17:20.520]   having people write the code.
[00:17:20.520 --> 00:17:22.640]   But maybe this is kind of like the Trojan horse
[00:17:22.640 --> 00:17:26.640]   to just do more full on end to end, like code creation.
[00:17:26.640 --> 00:17:27.480]   - Dev in style.
[00:17:27.480 --> 00:17:28.320]   - Yeah.
[00:17:28.320 --> 00:17:29.760]   I think it's like, how do you get there
[00:17:29.760 --> 00:17:32.800]   in a, like a real principled manner?
[00:17:32.800 --> 00:17:33.640]   Right?
[00:17:33.640 --> 00:17:35.040]   We have, obviously, like enterprise asking us all the time.
[00:17:35.040 --> 00:17:36.360]   Like, oh, when's it going to be like N10?
[00:17:36.360 --> 00:17:38.200]   Where the reality is like, okay, well,
[00:17:38.200 --> 00:17:39.720]   if we have something in the idea that again,
[00:17:39.720 --> 00:17:41.920]   can like see your entire actions and get a lot of intent
[00:17:41.920 --> 00:17:44.360]   that you can't actually get if you're not in the idea.
[00:17:44.360 --> 00:17:49.040]   If the agent there has to always get human involvement
[00:17:49.040 --> 00:17:51.640]   to keep on fixing itself, it's probably not ready
[00:17:51.640 --> 00:17:53.560]   to become a full end-to-end automated system.
[00:17:53.560 --> 00:17:54.880]   'Cause then we're just gonna turn into a linter,
[00:17:54.880 --> 00:17:56.960]   where like, it produces a bunch of things
[00:17:56.960 --> 00:17:58.160]   and no one looks at any of it.
[00:17:58.160 --> 00:18:00.880]   Like, that's not the great end state.
[00:18:00.880 --> 00:18:02.200]   But if we start seeing like, oh, yeah,
[00:18:02.200 --> 00:18:04.440]   there's common patterns that people do that like,
[00:18:04.440 --> 00:18:05.800]   never require human involvement,
[00:18:05.800 --> 00:18:07.080]   just end-to-end just totally works
[00:18:07.080 --> 00:18:09.520]   without like any like intent-based information.
[00:18:09.520 --> 00:18:11.160]   Sure, that can become like fully agentic.
[00:18:11.160 --> 00:18:13.120]   And like, we'll learn what those tasks are like,
[00:18:13.120 --> 00:18:14.880]   pretty quickly 'cause we have a lot of data.
[00:18:14.880 --> 00:18:16.120]   Maybe add on to that.
[00:18:16.120 --> 00:18:18.760]   I think that if the answer is like,
[00:18:18.760 --> 00:18:21.280]   full agentic is called like, is Devin.
[00:18:21.280 --> 00:18:23.160]   I think like, yes, the answer is,
[00:18:23.160 --> 00:18:25.640]   this product should become fully agentic
[00:18:25.640 --> 00:18:28.320]   and limited human interaction is the goal,
[00:18:28.320 --> 00:18:29.480]   is 100% the goal.
[00:18:29.480 --> 00:18:32.120]   And I think honestly, of all usable products right now,
[00:18:32.120 --> 00:18:33.640]   I think we're the closest right now.
[00:18:33.640 --> 00:18:35.400]   Of all usable products in an ID.
[00:18:35.400 --> 00:18:37.440]   Now, let me caveat this by saying,
[00:18:37.440 --> 00:18:38.880]   I think there are lots of hard problems
[00:18:38.880 --> 00:18:40.080]   that have yet to be solved,
[00:18:40.080 --> 00:18:41.160]   that we need to go out and solve
[00:18:41.160 --> 00:18:42.240]   to actually make this happen.
[00:18:42.240 --> 00:18:43.080]   Like, for instance,
[00:18:43.080 --> 00:18:44.160]   I think one of the most annoying parts
[00:18:44.160 --> 00:18:46.680]   about the product is the fact that you need to accept
[00:18:46.680 --> 00:18:48.560]   every command that kind of gets run.
[00:18:48.560 --> 00:18:49.920]   It's actually fairly annoying.
[00:18:49.920 --> 00:18:51.280]   I would like it to go out and run it.
[00:18:51.280 --> 00:18:53.800]   Unfortunately, me going out and running arbitrary binaries
[00:18:53.800 --> 00:18:55.560]   has some problems in that if it like,
[00:18:55.560 --> 00:18:56.840]   RMR is my hard disk.
[00:18:56.840 --> 00:18:57.680]   - It's actually a virus.
[00:18:57.680 --> 00:18:58.520]   - I'm not going to be.
[00:18:58.520 --> 00:18:59.360]   - It's a virus.
[00:18:59.360 --> 00:19:00.640]   - I think it needs to be one you.
[00:19:00.640 --> 00:19:03.200]   Yeah, it does become a virus.
[00:19:03.200 --> 00:19:05.040]   I think this is solvable with like,
[00:19:05.040 --> 00:19:06.480]   with complex systems.
[00:19:06.480 --> 00:19:09.480]   I think we love working on complex systems infrastructure.
[00:19:09.480 --> 00:19:10.440]   I think we'll solve it.
[00:19:10.440 --> 00:19:12.680]   Now, the simpler way to go about solving this is,
[00:19:12.680 --> 00:19:13.920]   don't run it on the user's machine
[00:19:13.920 --> 00:19:14.760]   and run it somewhere else,
[00:19:14.760 --> 00:19:16.280]   because then if you work with that machine,
[00:19:16.280 --> 00:19:17.480]   you're kind of totally fine.
[00:19:17.480 --> 00:19:19.120]   Now, I think though,
[00:19:19.120 --> 00:19:20.320]   maybe there's a little bit of trade-off
[00:19:20.320 --> 00:19:21.840]   of like running it locally versus remotely,
[00:19:21.840 --> 00:19:23.680]   and I think we might change our mind on this,
[00:19:23.680 --> 00:19:25.640]   but I think the goal for this is not for this
[00:19:25.640 --> 00:19:26.480]   to be the final state.
[00:19:26.480 --> 00:19:27.880]   I think the goal for this is A,
[00:19:27.880 --> 00:19:29.960]   it's actually able to do very complex tasks
[00:19:29.960 --> 00:19:31.040]   with limited human interaction,
[00:19:31.040 --> 00:19:34.600]   but it needs to know when to actually go back to the human.
[00:19:34.600 --> 00:19:35.440]   Also, on top of that,
[00:19:35.440 --> 00:19:37.880]   compress every cycle that the agent is running.
[00:19:37.880 --> 00:19:39.720]   Right now, actually, I even feel like the product
[00:19:39.720 --> 00:19:41.840]   is too slow for me sometimes right now.
[00:19:41.840 --> 00:19:44.040]   Even with it running really fast.
[00:19:44.040 --> 00:19:45.400]   It's objectively a pretty fast.
[00:19:45.400 --> 00:19:47.640]   I would still want it to be faster, right?
[00:19:47.640 --> 00:19:49.080]   So there is like systems work
[00:19:49.080 --> 00:19:50.840]   and probably modeling work that needs to happen there
[00:19:50.840 --> 00:19:52.560]   to make the product even faster
[00:19:52.560 --> 00:19:55.200]   on both the retrieval side and the generation side, right?
[00:19:55.200 --> 00:19:56.440]   And then finally speaking,
[00:19:56.440 --> 00:19:58.520]   I think another key piece here that's like really important
[00:19:58.520 --> 00:20:01.880]   is I actually think asking people to do things explicitly
[00:20:01.880 --> 00:20:04.320]   is probably going to be more of an anti-pattern
[00:20:04.320 --> 00:20:06.440]   if we can actually go and possibly suggest
[00:20:06.440 --> 00:20:08.080]   the entire change for the user.
[00:20:08.080 --> 00:20:10.880]   So almost imagine as the user is using the product
[00:20:10.880 --> 00:20:13.040]   that we're going to suggest the remainder of the PR
[00:20:13.040 --> 00:20:16.280]   without the user kind of like even asking us for it.
[00:20:16.280 --> 00:20:17.880]   I think this is sort of the beginning for it,
[00:20:17.880 --> 00:20:19.440]   but yeah, like these are hard problems.
[00:20:19.440 --> 00:20:21.520]   I can't give a particular deadline for this.
[00:20:21.520 --> 00:20:22.720]   I think this is like a big step up
[00:20:22.720 --> 00:20:25.160]   than what we had particularly in the past.
[00:20:25.160 --> 00:20:28.000]   But I think what Entrel said is 100% true,
[00:20:28.000 --> 00:20:30.360]   but the goal is for us to get better at this.
[00:20:30.360 --> 00:20:32.320]   - I mean, the remote execution thing is interesting.
[00:20:32.320 --> 00:20:34.760]   You've wrote a post about the end of local host.
[00:20:34.760 --> 00:20:36.360]   - Yeah. - And now it's almost like,
[00:20:36.360 --> 00:20:37.200]   then we were kind of like,
[00:20:37.200 --> 00:20:39.040]   well, now maybe we do need the internet
[00:20:39.040 --> 00:20:40.360]   and like people want to run things,
[00:20:40.360 --> 00:20:42.840]   but now it's like, okay, no, actually I don't really care.
[00:20:42.840 --> 00:20:44.160]   Like I want the model to do that.
[00:20:44.160 --> 00:20:46.840]   And if you were like, you can do a task end to end,
[00:20:46.840 --> 00:20:49.000]   but it needs to run remotely, not on your computer.
[00:20:49.000 --> 00:20:50.360]   I'm sure most people would say, yeah.
[00:20:50.360 --> 00:20:51.640]   - No, I agree with that. - I agree with it.
[00:20:51.640 --> 00:20:53.160]   - I actually agree with it running remotely.
[00:20:53.160 --> 00:20:54.480]   That's not a security issue.
[00:20:54.480 --> 00:20:55.800]   I actually, I totally agree with you
[00:20:55.800 --> 00:20:59.280]   that it's possible that everything could run remotely.
[00:20:59.280 --> 00:21:02.600]   - I tell it is most like because like Facebook's like,
[00:21:02.600 --> 00:21:04.240]   nobody runs things locally.
[00:21:04.240 --> 00:21:05.080]   - No one does.
[00:21:05.080 --> 00:21:06.160]   In fact, you connect to our own--
[00:21:06.160 --> 00:21:07.640]   - It's an extension to the mainframe.
[00:21:07.640 --> 00:21:08.480]   - You're right on that.
[00:21:08.480 --> 00:21:11.280]   Maybe the one thing that I do think is kind of important
[00:21:11.280 --> 00:21:13.840]   for these systems that is more than just running remotely is,
[00:21:13.840 --> 00:21:15.960]   basically like, you know, when you look at these agents,
[00:21:15.960 --> 00:21:18.120]   there's kind of like a rollout of a trajectory.
[00:21:18.120 --> 00:21:20.280]   And I kind of want to roll this trajectory back, right?
[00:21:20.280 --> 00:21:22.240]   In some ways, I want like a snapshot of the system
[00:21:22.240 --> 00:21:23.760]   that I can like constantly checkpoint
[00:21:23.760 --> 00:21:24.920]   and move back and forth.
[00:21:24.920 --> 00:21:25.760]   And then also on top of that,
[00:21:25.760 --> 00:21:28.200]   I might want to do multiple rollouts of this.
[00:21:28.200 --> 00:21:30.120]   So basically, I think there needs to be a way to,
[00:21:30.120 --> 00:21:33.160]   to almost like move forward and move backwards the system.
[00:21:33.160 --> 00:21:34.880]   And whether that's locally or remotely,
[00:21:34.880 --> 00:21:35.960]   I think that's necessary.
[00:21:35.960 --> 00:21:37.800]   But every time if you move the system forward,
[00:21:37.800 --> 00:21:39.640]   it like destroys your machine.
[00:21:39.640 --> 00:21:41.840]   It's probably going to be a hard system to kind of,
[00:21:41.840 --> 00:21:43.280]   or potentially destroys your machine.
[00:21:43.280 --> 00:21:44.760]   That's just not a workable solution.
[00:21:44.760 --> 00:21:46.560]   So I think the local versus remote,
[00:21:46.560 --> 00:21:48.480]   I think you still need to solve the problem of,
[00:21:48.480 --> 00:21:50.520]   this thing is not going to destroy your machine
[00:21:50.520 --> 00:21:52.160]   on every execution, if that makes sense.
[00:21:52.160 --> 00:21:53.000]   - Yeah.
[00:21:53.000 --> 00:21:53.840]   - Yeah.
[00:21:53.840 --> 00:21:55.840]   - There is a category of emerging infrastructure providers
[00:21:55.840 --> 00:21:58.260]   that are working on time travel VMs.
[00:21:58.260 --> 00:21:59.100]   - Yeah.
[00:21:59.100 --> 00:22:01.800]   And at Veron's first episode on the spotcast as an indication,
[00:22:01.800 --> 00:22:03.400]   we like infrastructure problems.
[00:22:03.400 --> 00:22:04.240]   - Yeah, okay.
[00:22:04.240 --> 00:22:05.360]   Oh, so you're going there, all right.
[00:22:05.360 --> 00:22:06.200]   Okay.
[00:22:06.200 --> 00:22:07.040]   - Well, that's funny, right?
[00:22:07.040 --> 00:22:08.480]   It's like when we first had you,
[00:22:08.480 --> 00:22:11.560]   you were doing so much on like actual model inference,
[00:22:11.560 --> 00:22:12.800]   optimization, all these things.
[00:22:12.800 --> 00:22:14.240]   And today it's almost like--
[00:22:14.240 --> 00:22:15.920]   - It's quad, it's foro.
[00:22:15.920 --> 00:22:17.560]   - It's like, you know, people are like,
[00:22:17.560 --> 00:22:18.760]   forgetting about the model.
[00:22:18.760 --> 00:22:20.600]   You know, not it's all about at a higher level.
[00:22:20.600 --> 00:22:21.440]   - Yes.
[00:22:21.440 --> 00:22:22.280]   Yeah.
[00:22:22.280 --> 00:22:23.880]   So maybe I can say like a little bit about
[00:22:23.880 --> 00:22:26.000]   how our strategy on this is like evolved,
[00:22:26.000 --> 00:22:27.640]   because it objectively hops for it.
[00:22:27.640 --> 00:22:30.400]   I think I would be, I would be lying if I said it hasn't.
[00:22:30.400 --> 00:22:32.160]   The things like autocomplete and super complete
[00:22:32.160 --> 00:22:35.120]   that run on every keystroke are entirely like our own models.
[00:22:35.120 --> 00:22:37.240]   And by the way, that is still because properties
[00:22:37.240 --> 00:22:39.480]   like FIM fill in the middle capabilities
[00:22:39.480 --> 00:22:41.560]   are still quite bad with the current model.
[00:22:41.560 --> 00:22:42.560]   - It's non-existent.
[00:22:42.560 --> 00:22:44.040]   - They're all, they're very bad.
[00:22:44.040 --> 00:22:45.560]   Non-existent, they're not good.
[00:22:45.560 --> 00:22:46.400]   Actually at it.
[00:22:46.400 --> 00:22:49.480]   - 'Cause FIM is an actual like how you order the tokens.
[00:22:49.480 --> 00:22:51.760]   - It's how you order the tokens actually in some ways.
[00:22:51.760 --> 00:22:53.160]   And this is a, this is sort of,
[00:22:53.160 --> 00:22:55.200]   if you look at what these products have sort of become
[00:22:55.200 --> 00:22:57.720]   and this is great is a lot of the clods in the opening eyes
[00:22:57.720 --> 00:23:00.200]   have focused on kind of the chat like Assistant API
[00:23:00.200 --> 00:23:02.240]   where it's like complete pieces of work message
[00:23:02.240 --> 00:23:03.360]   and other complete piece of work.
[00:23:03.360 --> 00:23:06.040]   So multi-turn kind of back and forth systems.
[00:23:06.040 --> 00:23:07.840]   In fact, like actually even these systems
[00:23:07.840 --> 00:23:09.800]   are not that good at making point changes.
[00:23:09.800 --> 00:23:10.720]   When they make point changes,
[00:23:10.720 --> 00:23:13.320]   they kind of are like off here and there by a little bit
[00:23:13.320 --> 00:23:16.160]   because yeah, when you, when you like are doing multi-point
[00:23:16.160 --> 00:23:17.680]   kind of like conversations, it's, you know,
[00:23:17.680 --> 00:23:21.400]   exact gifts getting applied is not like even a perfect science.
[00:23:21.400 --> 00:23:22.240]   I'm still yet.
[00:23:22.240 --> 00:23:23.280]   So we care about that.
[00:23:23.280 --> 00:23:25.760]   The second piece where we've actually sort of trained
[00:23:25.760 --> 00:23:27.720]   our model is actually on the retrieval system.
[00:23:27.720 --> 00:23:28.960]   And this is not even for embedding,
[00:23:28.960 --> 00:23:31.680]   but like actually being able to use high powered LLMs
[00:23:31.680 --> 00:23:34.160]   to be able to do much higher quality retrieval
[00:23:34.160 --> 00:23:36.040]   across the code base, right?
[00:23:36.040 --> 00:23:38.040]   So this is actually what UNTRL said.
[00:23:38.040 --> 00:23:40.480]   For a lot of the systems, we do believe embeddings work.
[00:23:40.480 --> 00:23:42.960]   But for complex questions, we don't believe embeddings
[00:23:42.960 --> 00:23:46.600]   can encapsulate all the granularity of a particular query.
[00:23:46.600 --> 00:23:48.600]   Like imagine, imagine I have a question
[00:23:48.600 --> 00:23:51.200]   on a code base of find me all quadratic time algorithms
[00:23:51.200 --> 00:23:52.040]   in this code base.
[00:23:52.040 --> 00:23:54.880]   Do we genuinely believe the embedding can encapsulate
[00:23:54.880 --> 00:23:57.280]   the fact that this function is a quadratic time function?
[00:23:57.280 --> 00:23:58.640]   No, I don't think it does.
[00:23:58.640 --> 00:24:00.680]   So you are going to get extremely poor precision
[00:24:00.680 --> 00:24:01.680]   recall at this task.
[00:24:01.680 --> 00:24:03.960]   So we need to apply something a little more high powered
[00:24:03.960 --> 00:24:05.280]   to actually go out and do that.
[00:24:05.280 --> 00:24:07.560]   So we've actually built large distributed systems
[00:24:07.560 --> 00:24:09.440]   to actually go out and run these at scale,
[00:24:09.440 --> 00:24:12.040]   run custom models at scale across large code bases.
[00:24:12.040 --> 00:24:13.760]   So I think it's more a question of that.
[00:24:13.760 --> 00:24:16.160]   The planning models right now, undoubtedly,
[00:24:16.160 --> 00:24:18.960]   I think the clods in the OpenAIs have the best products.
[00:24:18.960 --> 00:24:20.840]   I think LAMA4, depending on where it goes,
[00:24:20.840 --> 00:24:22.240]   it could be materially better.
[00:24:22.240 --> 00:24:24.200]   It's very clear that they're willing to invest
[00:24:24.200 --> 00:24:28.160]   a similar amount of compute as the OpenAIs and the anthropics.
[00:24:28.160 --> 00:24:29.000]   So we'll see.
[00:24:29.000 --> 00:24:30.880]   I would be very happy if they got really good,
[00:24:30.880 --> 00:24:32.400]   but unclear so far.
[00:24:32.400 --> 00:24:33.440]   - Don't forget Grok.
[00:24:33.440 --> 00:24:35.640]   - Hey, dude, I think Grok is also possible, right?
[00:24:35.640 --> 00:24:37.200]   I think don't doubt Elon.
[00:24:37.200 --> 00:24:40.040]   - Okay, so I didn't actually know.
[00:24:40.040 --> 00:24:41.840]   It's not obvious when I use Cascade.
[00:24:41.840 --> 00:24:42.960]   I should also mention that, you know,
[00:24:42.960 --> 00:24:44.920]   I was part of the preview and thanks for letting me in.
[00:24:44.920 --> 00:24:48.000]   And I've been maining WinSurf for a long time.
[00:24:48.000 --> 00:24:48.840]   It's not actually obvious.
[00:24:48.840 --> 00:24:51.080]   You don't make it obvious that you are running your own models.
[00:24:51.080 --> 00:24:52.080]   I feel like you should.
[00:24:52.080 --> 00:24:55.560]   So that like, I feel like it has more differentiation.
[00:24:55.560 --> 00:24:58.080]   Like I only have exclusive access to your models
[00:24:58.080 --> 00:24:59.360]   via your IDE
[00:24:59.360 --> 00:25:02.080]   than having the drop down as this cloud and for all.
[00:25:02.080 --> 00:25:03.720]   Cause I actually thought that was what you did.
[00:25:03.720 --> 00:25:05.160]   - No, so actually the way it works
[00:25:05.160 --> 00:25:07.520]   is the high level planning that is going on in the model
[00:25:07.520 --> 00:25:09.880]   is actually getting done with products like the cloud,
[00:25:09.880 --> 00:25:12.200]   but the extremely fast retrieval,
[00:25:12.200 --> 00:25:14.640]   as well as the ability to like take the high level plan
[00:25:14.640 --> 00:25:16.080]   and actually apply to the code base
[00:25:16.080 --> 00:25:18.200]   is proprietary systems that are running internally.
[00:25:18.200 --> 00:25:20.960]   - And then the stuff that you said about embedding
[00:25:20.960 --> 00:25:22.000]   is not being enough.
[00:25:22.000 --> 00:25:22.840]   Are you familiar with the,
[00:25:22.840 --> 00:25:24.280]   I thought it's a late interaction?
[00:25:24.280 --> 00:25:25.200]   - No, I actually have no room.
[00:25:25.200 --> 00:25:26.840]   - Yeah, so this is Colbert
[00:25:26.840 --> 00:25:29.120]   or like a guy Omar Khattab from,
[00:25:29.120 --> 00:25:31.320]   I think Stanford has been promoting this a lot.
[00:25:31.320 --> 00:25:32.640]   And it is basically what you've done.
[00:25:32.640 --> 00:25:33.480]   - Okay.
[00:25:33.480 --> 00:25:34.320]   (laughs)
[00:25:34.320 --> 00:25:36.200]   - It's sort of embedding on retrieval
[00:25:36.200 --> 00:25:37.200]   rather than pre-embedding.
[00:25:37.200 --> 00:25:39.080]   - Okay, that's in a very loose.
[00:25:39.080 --> 00:25:41.120]   - I think that sounds like a very good idea
[00:25:41.120 --> 00:25:42.640]   that is very similar to what we're doing.
[00:25:42.640 --> 00:25:44.080]   - It sounds like a very good idea.
[00:25:44.080 --> 00:25:44.920]   - Yeah.
[00:25:44.920 --> 00:25:45.760]   - I think we're excited.
[00:25:45.760 --> 00:25:46.840]   - That's like the meme of Obama
[00:25:46.840 --> 00:25:48.440]   giving himself a metal right there.
[00:25:48.440 --> 00:25:49.920]   (laughs)
[00:25:49.920 --> 00:25:51.360]   - No, I mean, there might be,
[00:25:51.360 --> 00:25:52.720]   like there might be something to learn
[00:25:52.720 --> 00:25:54.840]   from contrasting the ideas and seeing where,
[00:25:54.840 --> 00:25:56.440]   like the subtle opinion and differences.
[00:25:56.440 --> 00:25:58.280]   - It's also been applied very effectively
[00:25:58.280 --> 00:25:59.880]   to vision understanding,
[00:25:59.880 --> 00:26:03.360]   because vision models tend to just consume the whole image.
[00:26:03.360 --> 00:26:05.560]   If you are able to sort of focus on images
[00:26:05.560 --> 00:26:06.680]   based on the query,
[00:26:06.680 --> 00:26:10.000]   I think that can get you a lot of extra performance.
[00:26:10.000 --> 00:26:12.120]   - The basic idea of using compute
[00:26:12.120 --> 00:26:14.360]   in a distributed manner to do, you know,
[00:26:14.360 --> 00:26:16.440]   operations over a whole set of like raw data
[00:26:16.440 --> 00:26:18.080]   rather than like a materialized view
[00:26:18.080 --> 00:26:19.040]   is not anything new, right?
[00:26:19.040 --> 00:26:20.280]   Like, I think it's just like,
[00:26:20.280 --> 00:26:21.640]   how does that look like for all of them?
[00:26:21.640 --> 00:26:23.840]   - When I hear you say like build large distributed systems,
