
[00:00:00.000 --> 00:00:03.440]   (upbeat music)
[00:15:28.120 --> 00:15:29.280]   and that can be significant.
[00:15:29.280 --> 00:15:32.080]   So that is their strategy is to sort of try and remain ahead,
[00:15:32.080 --> 00:15:34.320]   which I find to be challenging strategy.
[00:15:34.320 --> 00:15:35.600]   Like you still aspire to that,
[00:15:35.600 --> 00:15:37.840]   but it's hard for that to be your strategy.
[00:15:37.840 --> 00:15:39.440]   So I guess that's like half,
[00:15:39.440 --> 00:15:43.160]   I don't know if I fit the briefly comments,
[00:15:43.160 --> 00:15:45.600]   but that's like half the quadrant.
[00:15:45.600 --> 00:15:46.440]   - Yeah, yeah.
[00:15:46.440 --> 00:15:48.560]   And I think it's a very helpful overview
[00:15:48.560 --> 00:15:50.480]   because I think a lot of people,
[00:15:50.480 --> 00:15:52.120]   we probably intuitively know about it,
[00:15:52.120 --> 00:15:53.600]   but like what's helpful about it,
[00:15:53.600 --> 00:15:55.880]   almost like a mental model is it really helps you
[00:15:55.880 --> 00:15:58.440]   kind of like think about the existing world.
[00:15:58.440 --> 00:16:00.000]   And of course, as you're helpful to think about
[00:16:00.000 --> 00:16:01.880]   what your new world is being proposing.
[00:16:01.880 --> 00:16:02.720]   - Exactly.
[00:16:02.720 --> 00:16:04.160]   - Yeah, I know we're not able to get into
[00:16:04.160 --> 00:16:05.600]   like the details of Tesla,
[00:16:05.600 --> 00:16:06.840]   obviously about the product
[00:16:06.840 --> 00:16:08.560]   because things are pretty early.
[00:16:08.560 --> 00:16:12.960]   But I'm very interested because I think this whole new IP
[00:16:12.960 --> 00:16:16.960]   transformation and sort of like high trust, right?
[00:16:16.960 --> 00:16:18.520]   To be able to generate high trust,
[00:16:18.520 --> 00:16:22.160]   it almost requires like this trust earning journey,
[00:16:22.160 --> 00:16:24.880]   the product needs to require to get to the end.
[00:16:24.880 --> 00:16:25.720]   - Right.
[00:16:25.720 --> 00:16:27.480]   And maybe hold that thought a second.
[00:16:27.480 --> 00:16:29.040]   Let me sort of talk about the change route
[00:16:29.040 --> 00:16:30.800]   and then we come back precisely to that
[00:16:30.800 --> 00:16:31.840]   sort of the journey.
[00:16:31.840 --> 00:16:34.720]   So like the trust route, like you go into that car
[00:16:34.720 --> 00:16:35.560]   and you need that trust
[00:16:35.560 --> 00:16:36.800]   and there's a trust building exercise.
[00:16:36.800 --> 00:16:38.320]   Maybe you'll take shorter rides
[00:16:38.320 --> 00:16:39.720]   once it's sort of a small.
[00:16:39.720 --> 00:16:41.760]   Maybe you would only do it after a friend of yours to get,
[00:16:41.760 --> 00:16:43.680]   right? Like you might do all these things,
[00:16:43.680 --> 00:16:45.760]   but it's still the trust route.
[00:16:45.760 --> 00:16:49.440]   I think the bigger, harder path is one of change.
[00:16:49.440 --> 00:16:51.120]   So change is about changing the way you work.
[00:16:51.120 --> 00:16:52.920]   And I think probably the best analogy there
[00:16:52.920 --> 00:16:56.960]   is the text video or text to image representation.
[00:16:56.960 --> 00:16:59.880]   So I'm a fortunate to be an investor in Cynthia,
[00:16:59.880 --> 00:17:02.440]   Cynthia is sort of a text to video solution
[00:17:02.440 --> 00:17:04.080]   and the focus on training and things like that,
[00:17:04.080 --> 00:17:05.520]   one of the leaders in the space.
[00:17:05.520 --> 00:17:08.760]   And the way you create the video in Cynthia
[00:17:08.760 --> 00:17:11.400]   is entirely different to the way you would create
[00:17:11.400 --> 00:17:12.400]   a video pre-AI.
[00:17:12.400 --> 00:17:14.840]   Like there's really nothing in common
[00:17:14.840 --> 00:17:17.280]   about how you would sort of set up a studio
[00:17:17.280 --> 00:17:19.320]   and get actors and shoot with a video and all that
[00:17:19.320 --> 00:17:21.200]   and how you would sort of write that text.
[00:17:21.200 --> 00:17:24.640]   And because of that, that is dramatic change
[00:17:24.640 --> 00:17:27.880]   in who is it that would be able to operate that successfully?
[00:17:27.880 --> 00:17:28.960]   You know, what are the skills?
[00:17:28.960 --> 00:17:30.960]   What are the workflows in the business that you would build?
[00:17:30.960 --> 00:17:33.240]   And there's effectively zero chance
[00:17:33.240 --> 00:17:36.480]   that the winner in the like AI generated videos
[00:17:36.480 --> 00:17:40.600]   will be the same companies that are the ones producing
[00:17:40.600 --> 00:17:43.000]   the videos in person today.
[00:17:43.000 --> 00:17:46.960]   But the difficulty over here is when would you start using it
[00:17:46.960 --> 00:17:48.400]   and how would you use it?
[00:17:48.400 --> 00:17:50.160]   And Cynthia, I've actually kind of figured out
[00:17:50.160 --> 00:17:52.920]   a good specific niche or sort of slice.
[00:17:52.920 --> 00:17:54.360]   So maybe that's a demonstration of a journey
[00:17:54.360 --> 00:17:55.520]   around these training videos
[00:17:55.520 --> 00:17:57.000]   that already were very methodical
[00:17:57.000 --> 00:17:58.320]   in the different languages and such.
[00:17:58.320 --> 00:18:00.600]   But when you go and you go to runway
[00:18:00.600 --> 00:18:03.320]   or you go to the more loose form generations,
[00:18:03.320 --> 00:18:06.800]   I mean, how do you generate a feature in that fashion?
[00:18:06.800 --> 00:18:09.560]   I mean, there are new problems that you would need
[00:18:09.560 --> 00:18:11.600]   to deal with that are brand new.
[00:18:11.600 --> 00:18:14.080]   You don't really know how to overcome them
[00:18:14.080 --> 00:18:16.080]   around, you know, character and consistency.
[00:18:16.080 --> 00:18:17.120]   It's only a different person.
[00:18:17.120 --> 00:18:18.840]   You don't get that problem, right?
[00:18:18.840 --> 00:18:20.840]   When you're shooting a video and suddenly a doppelganger
[00:18:20.840 --> 00:18:24.240]   of an actor shows up instead of the,
[00:18:24.240 --> 00:18:28.400]   a re-elector, you know, someone similar, but not quite the same.
[00:18:28.400 --> 00:18:31.480]   And so these are new problems, they're new workflows.
[00:18:31.480 --> 00:18:34.400]   But if you succeed in building a new way
[00:18:34.400 --> 00:18:36.960]   that is truly better and text the videos,
[00:18:36.960 --> 00:18:39.840]   a good example of one in which there's like massive advantages.
[00:18:39.840 --> 00:18:41.360]   If successful, it's like dramatically,
[00:18:41.360 --> 00:18:43.160]   dramatically cheaper and faster,
[00:18:43.160 --> 00:18:45.440]   then you can unlock tremendous value
[00:18:45.440 --> 00:18:47.360]   and you can really win that space.
[00:18:47.360 --> 00:18:49.240]   And so I think that's really the disruption corner.
[00:18:49.240 --> 00:18:51.800]   That's the place in which you can really rethink an industry.
[00:18:51.800 --> 00:18:54.000]   But the slowdown factor isn't just trust.
[00:18:54.000 --> 00:18:56.840]   It's change and people are slow to change.
[00:18:56.840 --> 00:18:59.160]   And so I think you can develop IP faster
[00:18:59.160 --> 00:19:01.440]   than you can get people to change.
[00:19:01.440 --> 00:19:02.760]   And it's actually quite hard,
[00:19:02.760 --> 00:19:04.280]   like if I bring it back to developments,
[00:19:04.280 --> 00:19:07.320]   quite hard to think about what does this mean in development.
[00:19:07.320 --> 00:19:09.160]   I think a little bit of that is this notion
[00:19:09.160 --> 00:19:11.000]   of chat based creation.
[00:19:11.000 --> 00:19:14.480]   And so everybody immediately gets the code completion,
[00:19:14.480 --> 00:19:17.560]   but you'd find conflicting and sometimes hostile opinions
[00:19:17.560 --> 00:19:19.760]   about generation with chat.
[00:19:19.760 --> 00:19:21.520]   Because that's a new way of doing it.
[00:19:21.520 --> 00:19:22.960]   You know, it's a different methodology.
[00:19:22.960 --> 00:19:25.080]   How do I talk about my document?
[00:19:25.080 --> 00:19:26.800]   Like how do I work with that?
[00:19:26.800 --> 00:19:28.120]   And so it takes longer to adopt.
[00:19:28.120 --> 00:19:29.840]   Maybe it's better, maybe it's not,
[00:19:29.840 --> 00:19:33.080]   but it takes longer to adopt and it's a difference.
[00:19:33.080 --> 00:19:36.240]   I think the V0 or the sort of the bootstrap
[00:19:36.240 --> 00:19:38.120]   of an application this way,
[00:19:38.120 --> 00:19:39.880]   again, it's a different way of doing it.
[00:19:39.880 --> 00:19:41.880]   So it gets you somewhere.
[00:19:41.880 --> 00:19:43.480]   Is it the right where?
[00:19:43.480 --> 00:19:45.760]   Is it the right starting point?
[00:19:45.760 --> 00:19:47.200]   What do designers think about it?
[00:19:47.200 --> 00:19:50.400]   Well, some of them have very kind of vicious opinions
[00:19:50.400 --> 00:19:51.880]   about them and some of them are in love with it.
[00:19:51.880 --> 00:19:55.200]   And so I think that change route is interesting.
[00:19:55.200 --> 00:19:58.040]   And then let me kind of quickly talk about the top right,
[00:19:58.040 --> 00:19:59.480]   which is really just a combination of those
[00:19:59.480 --> 00:20:01.680]   in to an extent in what you sort of referred to
[00:20:01.680 --> 00:20:04.080]   when you talk about how do you build the trust.
[00:20:04.080 --> 00:20:05.760]   Like that's the hardest quadrant,
[00:20:05.760 --> 00:20:06.640]   the sort of the top right.
[00:20:06.640 --> 00:20:09.960]   It is a new way of doing it and assumes trust.
[00:20:09.960 --> 00:20:11.560]   And so really at the moment,
[00:20:11.560 --> 00:20:14.680]   if you just build for the top right, nobody would use it.
[00:20:14.680 --> 00:20:17.840]   They require them to change and to trust at the same time.
[00:20:17.840 --> 00:20:19.120]   It's just not going to happen.
[00:20:19.120 --> 00:20:22.560]   But eventually every company should understand
[00:20:22.560 --> 00:20:25.400]   what is its top right positioning, every market,
[00:20:25.400 --> 00:20:28.160]   like if you're going to build a product,
[00:20:28.160 --> 00:20:31.680]   like build a company, acquire a company to any domain,
[00:20:31.680 --> 00:20:34.320]   you have to have a thesis about what is in the top right
[00:20:34.320 --> 00:20:36.600]   because that is what we will eventually have
[00:20:36.600 --> 00:20:38.880]   is when the technology is trusted
[00:20:38.880 --> 00:20:42.440]   and whatever useful changes are there to be had,
[00:20:42.440 --> 00:20:43.720]   they have been adopted.
[00:20:43.720 --> 00:20:45.360]   And so we'll get back to sort of testament
[00:20:45.360 --> 00:20:47.440]   and native development, but what we're talking about
[00:20:47.440 --> 00:20:49.280]   in the AI and native development model is
[00:20:49.280 --> 00:20:51.840]   let's start by imagining the top right
[00:20:51.840 --> 00:20:54.800]   and then there will be many journeys to get there.
[00:20:54.800 --> 00:20:58.800]   But you have to agree first directionally
[00:20:58.800 --> 00:21:00.840]   about what we think that top right is
[00:21:00.840 --> 00:21:03.480]   and you have to have that be a lively conversation
[00:21:03.480 --> 00:21:05.840]   and have a lot of people engage and try things in it
[00:21:05.840 --> 00:21:08.760]   and all that for us to be able to conform that destination.
[00:21:08.760 --> 00:21:10.560]   And if all your building is for the bottom left,
[00:21:10.560 --> 00:21:12.360]   you might get some immediate dollars,
[00:21:12.360 --> 00:21:14.000]   but your company is going to become invalid
[00:21:14.000 --> 00:21:14.900]   or irrelevant.
[00:21:16.840 --> 00:21:19.160]   It's a short answer.
[00:21:19.160 --> 00:21:20.640]   - But it was a great answer.
[00:21:20.640 --> 00:21:23.400]   The way I think about this is self-driving car model, right?
[00:21:23.400 --> 00:21:26.800]   Like, you know, in many ways, like the assisted
[00:21:26.800 --> 00:21:28.800]   sort of driving cruise control, right?
[00:21:28.800 --> 00:21:31.520]   Is a good example of a copilot, you know,
[00:21:31.520 --> 00:21:33.320]   fully self-driving car we still have to have.
[00:21:33.320 --> 00:21:34.960]   I have this thing on my Subaru or like,
[00:21:34.960 --> 00:21:37.040]   if I have my hands on the wheel, the car will drive itself,
[00:21:37.040 --> 00:21:38.080]   but I'm still like there.
[00:21:38.080 --> 00:21:40.120]   And then there's, you know, the full self-driving version
[00:21:40.120 --> 00:21:40.920]   which like Tesla's like,
[00:21:40.920 --> 00:21:43.400]   gosh, you can just do everyone, right?
[00:21:43.400 --> 00:21:44.760]   And then in future, you have, you know,
[00:21:44.760 --> 00:21:45.920]   obviously the robo-taxis,
[00:21:45.920 --> 00:21:48.320]   like my name has been a robo, that is incredible.
[00:21:48.320 --> 00:21:49.800]   And that, though, if I were to think about it,
[00:21:49.800 --> 00:21:51.880]   like the AI-native future in development
[00:21:51.880 --> 00:21:53.360]   would be like the robo version
[00:21:53.360 --> 00:21:55.680]   of whatever software development is.
[00:21:55.680 --> 00:21:57.520]   One of the things I think about is, you know, today,
[00:21:57.520 --> 00:21:59.800]   the example is the copilot, you know,
[00:21:59.800 --> 00:22:02.200]   the auto-completion or the chat.
[00:22:02.200 --> 00:22:05.120]   Basically like this change in how the developer works
[00:22:05.120 --> 00:22:05.960]   inside the IDE.
[00:22:05.960 --> 00:22:08.640]   And so we've seen, you know, 50% speedups.
[00:22:08.640 --> 00:22:11.640]   What do you think an example of an AI-native future
[00:22:11.640 --> 00:22:13.840]   for a software developer looks like?
[00:22:13.840 --> 00:22:16.280]   Is there like a mental model you have
[00:22:16.280 --> 00:22:18.880]   or like a gap in experience that you've been thinking about
[00:22:18.880 --> 00:22:20.960]   that demonstrates the difference between,
[00:22:20.960 --> 00:22:23.760]   I'm driving a car and I always have my eyes on the odometer
[00:22:23.760 --> 00:22:26.680]   and the car in front of me to, oh, now the taxi is like,
[00:22:26.680 --> 00:22:27.520]   driving me around.
[00:22:27.520 --> 00:22:30.840]   Like have you thought about what that could look like?
[00:22:30.840 --> 00:22:32.880]   - First of all, it's interesting that in the self-driving car,
[00:22:32.880 --> 00:22:34.920]   there are actually examples of two big companies
[00:22:34.920 --> 00:22:36.280]   that are taking different journeys to it.
[00:22:36.280 --> 00:22:38.400]   Waymo is taking the IP route
[00:22:38.400 --> 00:22:40.440]   and they're very much, they have no copilot.
[00:22:40.440 --> 00:22:42.160]   You're jumping straight into self-driving.
[00:22:42.160 --> 00:22:44.200]   Their only graduation is like the distances
[00:22:44.200 --> 00:22:46.200]   of the cities they operate in.
[00:22:46.200 --> 00:22:49.400]   While Tesla is taking the assisted driving route
[00:22:49.400 --> 00:22:51.240]   and trying to evolve their features like that.
[00:22:51.240 --> 00:22:52.560]   And time will tell what's better
[00:22:52.560 --> 00:22:55.000]   and they might both be viable, but they're very different.
[00:22:55.000 --> 00:22:56.640]   So it's interesting like these are two giants
[00:22:56.640 --> 00:22:59.760]   and they're both taking very different routes to it.
[00:22:59.760 --> 00:23:01.800]   I think the software analogy to self-driving cars
[00:23:01.800 --> 00:23:03.920]   is a little bit tough because self-driving cars
[00:23:03.920 --> 00:23:05.480]   have a physical limitation.
[00:23:05.480 --> 00:23:09.280]   And so you can't really make a self-driving car
[00:23:09.280 --> 00:23:10.840]   10 times faster, right?
[00:23:10.840 --> 00:23:13.720]   Or you can make it much better in various ways.
[00:23:13.720 --> 00:23:15.520]   And over time, you can create a reality
[00:23:15.520 --> 00:23:17.160]   that is a hundred times better
[00:23:17.160 --> 00:23:19.360]   if there's no parking lots anymore
[00:23:19.360 --> 00:23:21.960]   and all that space has been reclaimed by cities.
[00:23:21.960 --> 00:23:24.560]   And there are fewer accidents
[00:23:24.560 --> 00:23:26.680]   and a car ownership, it becomes a non-issue
[00:23:26.680 --> 00:23:30.320]   because everybody's just kind of reusing these cars.
[00:23:30.320 --> 00:23:32.240]   And so you can imagine a better future
[00:23:32.240 --> 00:23:35.640]   but the driving itself, the driving experience is shorter.
[00:23:35.640 --> 00:23:37.440]   I think for software development,
[00:23:37.440 --> 00:23:39.520]   there's actually a better opportunity
[00:23:39.520 --> 00:23:43.760]   because you can both improve the journey itself, right?
[00:23:43.760 --> 00:23:46.520]   I get from point A to point B by a hundred X
[00:23:46.520 --> 00:23:48.720]   and you can improve the ecosystem
[00:23:48.720 --> 00:23:52.480]   and the totality of it by another factor that is similar.
[00:23:52.480 --> 00:23:53.680]   Maybe I can talk a little bit
[00:23:53.680 --> 00:23:55.640]   about what I think is a native development.
[00:23:55.640 --> 00:23:56.480]   Does that make sense?
[00:23:56.480 --> 00:23:57.840]   - That'd be amazing, yeah.
[00:23:57.840 --> 00:24:00.240]   - Again, I think this is a group definition, right?
[00:24:00.240 --> 00:24:02.560]   Like in our community, it's a new paradigm
[00:24:02.560 --> 00:24:04.680]   and we need to work together as a community to doing it.
[00:24:04.680 --> 00:24:07.200]   And just sort of point out as a bit of a plug
[00:24:07.200 --> 00:24:09.320]   that we do have a conference
[00:24:09.320 --> 00:24:11.520]   that we're funding and operating and all that
[00:24:11.520 --> 00:24:13.640]   but with a lot of kind of bright opinions about it
[00:24:13.640 --> 00:24:16.640]   that is running what I think would be late the week
[00:24:16.640 --> 00:24:20.240]   that this airs on November 21st called the Air Native DevCon
[00:24:20.240 --> 00:24:22.440]   and we're going to have a lot of bright speakers
[00:24:22.440 --> 00:24:24.480]   over there talking about all sorts of aspects
[00:24:24.480 --> 00:24:26.120]   of a native development.
[00:24:26.120 --> 00:24:27.600]   But with that said, let me talk a little bit
[00:24:27.600 --> 00:24:28.440]   about our definition.
[00:24:28.440 --> 00:24:30.880]   So I think software today,
[00:24:30.880 --> 00:24:33.280]   software development is very code-centric.
[00:24:33.280 --> 00:24:35.480]   You get some requirements, you write some code
[00:24:35.480 --> 00:24:37.520]   where quickly you make 100 decisions in the code
[00:24:37.520 --> 00:24:39.240]   that never make it anywhere else
[00:24:39.240 --> 00:24:41.120]   or like it might be too low resolution.
[00:24:41.120 --> 00:24:44.320]   They might have not been bothered to go out
[00:24:44.320 --> 00:24:47.080]   and the code intertwines what needs to be done
[00:24:47.080 --> 00:24:48.120]   with how to do it.
[00:24:48.120 --> 00:24:49.920]   It's like literally in the same lines.
[00:24:49.920 --> 00:24:53.000]   You read the code and you need to parse out
[00:24:53.000 --> 00:24:55.120]   what is it doing and how is it doing it
[00:24:55.120 --> 00:24:57.520]   and separate the two and the LLMs
[00:24:57.520 --> 00:25:00.320]   that try to learn the code, they need to do the same.
[00:25:00.320 --> 00:25:03.640]   And I believe that we will move to a world
[00:25:03.640 --> 00:25:07.280]   that is spec-centric in which we can separate the two
[00:25:07.280 --> 00:25:09.440]   and a user can specify what they want,
[00:25:09.440 --> 00:25:11.200]   which is not a trivial problem
[00:25:11.200 --> 00:25:13.480]   and AI will handle the implementation.
[00:25:13.480 --> 00:25:18.160]   In that world where AI does the coding and the implementation,
[00:25:18.160 --> 00:25:19.160]   there are many, many things
[00:25:19.160 --> 00:25:21.160]   that suddenly become dramatically better.
[00:25:21.160 --> 00:25:24.240]   For instance, AI native software
[00:25:24.240 --> 00:25:26.400]   will be autonomously maintained.
[00:25:26.400 --> 00:25:28.920]   I mean maintenance by definition
[00:25:28.920 --> 00:25:31.800]   is change the software without changing the spec.
[00:25:31.800 --> 00:25:33.080]   Keep it behaving the same way
[00:25:33.080 --> 00:25:34.440]   but change the operating system,
[00:25:34.440 --> 00:25:36.520]   change the dependency, fix that vulnerability
[00:25:36.520 --> 00:25:37.960]   but don't change the spec.
[00:25:37.960 --> 00:25:40.080]   And so if you start from anchoring on the spec
[00:25:40.080 --> 00:25:41.680]   and have a good verification mechanism
[00:25:41.680 --> 00:25:44.200]   to know that the software is working correctly,
[00:25:44.200 --> 00:25:45.640]   you don't need to maintain that anymore.
[00:25:45.640 --> 00:25:47.640]   And maintenance is like the productivity killer.
[00:25:47.640 --> 00:25:50.560]   So that alone is like massively valuable.
[00:25:50.560 --> 00:25:53.120]   It is dramatically more accessible
[00:25:53.120 --> 00:25:55.200]   because there are just that many more people
[00:25:55.200 --> 00:25:56.960]   that can specify what they want
[00:25:56.960 --> 00:25:58.040]   and can be the judge of that.
[00:25:58.040 --> 00:26:00.840]   And even sort of think architecturally sometimes
[00:26:00.840 --> 00:26:03.240]   but are not able to write code.
[00:26:03.240 --> 00:26:06.120]   It would be very adaptable to your environment.
[00:26:06.120 --> 00:26:07.920]   So you'd be able to create software
[00:26:07.920 --> 00:26:11.120]   that on Ian's infrastructure is optimized for that
[00:26:11.120 --> 00:26:13.000]   and on Tim's infrastructure is optimized
[00:26:13.000 --> 00:26:16.680]   for their environment or that learns from the data
[00:26:16.680 --> 00:26:19.760]   and operations of how your specific users
[00:26:19.760 --> 00:26:22.960]   are using the system and your specific business needs.
[00:26:22.960 --> 00:26:24.800]   Are you kind of flush with cash
[00:26:24.800 --> 00:26:27.320]   and you're really looking to provide the best experience
[00:26:27.320 --> 00:26:30.800]   and you want to optimize for latency and such?
[00:26:30.800 --> 00:26:33.760]   Or are you more worried about costs
[00:26:33.760 --> 00:26:35.840]   and trying to do it or maybe different times a day
[00:26:35.840 --> 00:26:38.160]   you want different things for different users?
[00:26:38.160 --> 00:26:41.640]   And so like an extreme level of adaptability
[00:26:41.640 --> 00:26:44.400]   and personalization and automation can be there.
[00:26:44.400 --> 00:26:46.200]   It can have a deeper relationship with data.
[00:26:46.200 --> 00:26:48.840]   I read some stats that I'm not sure if it's coherent
[00:26:48.840 --> 00:26:50.880]   but it aligns with my general thinking
[00:26:50.880 --> 00:26:52.800]   which is that software generally
[00:26:52.800 --> 00:26:55.680]   is thought that it can be 10,000 times faster
[00:26:55.680 --> 00:26:58.080]   if you really fully squeezed and optimized
[00:26:58.080 --> 00:26:59.880]   every aspect of it.
[00:26:59.880 --> 00:27:02.720]   But that's expensive 'cause like human time is expensive
[00:27:02.720 --> 00:27:06.240]   but maybe with AI, if you're tied to it.
[00:27:06.240 --> 00:27:08.880]   So it's just better on so many fronts.
[00:27:08.880 --> 00:27:11.040]   And I guess our conviction is that building software
[00:27:11.040 --> 00:27:13.480]   like that, being able to specify what you want,
[00:27:13.480 --> 00:27:17.200]   being able to provide and then evolve
[00:27:17.200 --> 00:27:20.400]   the verification mechanisms to know,
[00:27:20.400 --> 00:27:23.600]   to trust that the software works the way you want.
[00:27:23.600 --> 00:27:26.720]   And then thinking about how that software works over time,
[00:27:26.720 --> 00:27:29.800]   like thinking about how do you write the specification,
[00:27:29.800 --> 00:27:30.760]   how do you write the verification,
[00:27:30.760 --> 00:27:33.480]   how do you edit to those in future versions of it?
[00:27:33.480 --> 00:27:35.840]   How do you package those?
[00:27:35.840 --> 00:27:37.320]   How do you version something like this?
[00:27:37.320 --> 00:27:38.360]   This is language agnostic.
[00:27:38.360 --> 00:27:39.440]   You can have a JavaScript version,
[00:27:39.440 --> 00:27:40.480]   a Python version of it.
[00:27:40.480 --> 00:27:42.000]   Like are they the same version?
[00:27:42.000 --> 00:27:42.840]   How do I think about them?
[00:27:42.840 --> 00:27:46.840]   What happens if they have some language specific ecosystem
[00:27:46.840 --> 00:27:47.680]   change on it?
[00:27:47.680 --> 00:27:48.640]   Is that a new version for both?
[00:27:48.640 --> 00:27:52.000]   Is that how do you observe a system like that?
[00:27:52.000 --> 00:27:53.640]   How do you know what has occurred?
[00:27:53.640 --> 00:27:57.320]   And so all of those require a different software factory.
[00:27:57.320 --> 00:28:00.840]   They require a different development paradigm and methodology
[00:28:00.840 --> 00:28:03.680]   and they require a different development platform.
[00:28:03.680 --> 00:28:04.800]   What we're sort of perceiving here
[00:28:04.800 --> 00:28:09.040]   and we can go into each of these paths deeper if you'd like
[00:28:09.040 --> 00:28:09.880]   is that on one hand,
[00:28:09.880 --> 00:28:11.960]   we think this is a new development paradigm
[00:28:11.960 --> 00:28:14.080]   and we think this is software development
[00:28:14.080 --> 00:28:15.440]   and a lot of the answers,
[00:28:15.440 --> 00:28:18.000]   like we will not be the ones thinking about them
[00:28:18.000 --> 00:28:21.120]   and they would also not have one answer
[00:28:21.120 --> 00:28:24.680]   both because of the complexity of software and the world.
[00:28:24.680 --> 00:28:29.160]   So it could be that the way you would verify a mobile game
[00:28:29.160 --> 00:28:31.120]   is just very different to the way you would verify
[00:28:31.120 --> 00:28:34.520]   any commerce site and to the way that you would verify
[00:28:34.520 --> 00:28:39.080]   an internal in-house application or any of these others.
[00:28:39.080 --> 00:28:41.320]   But also because it's not gonna be a point in time, right?
[00:28:41.320 --> 00:28:42.160]   Like it will change.
[00:28:42.160 --> 00:28:44.920]   Now, maybe in some magical world,
[00:28:44.920 --> 00:28:47.480]   we sort of figured out all the ways to doing it.
[00:28:47.480 --> 00:28:49.800]   Like over time, you know, different organizational context
[00:28:49.800 --> 00:28:51.280]   but also new technology comes along.
[00:28:51.280 --> 00:28:52.120]   Things change.
[00:28:52.120 --> 00:28:53.920]   There are opinions and multiple ways to do it.
[00:28:53.920 --> 00:28:56.640]   And so we think this A&M development,
[00:28:56.640 --> 00:28:58.840]   like this is a methodology and it has some,
[00:28:58.840 --> 00:29:00.960]   like in DevOps, like in CICD,
[00:29:00.960 --> 00:29:03.360]   there are some themes that are recurring.
[00:29:03.360 --> 00:29:06.000]   There are some practices that span ecosystems
[00:29:06.000 --> 00:29:08.040]   but there are many tools and they plug together
[00:29:08.040 --> 00:29:09.360]   and they work together.
[00:29:09.360 --> 00:29:11.600]   And so we think there's an importance
[00:29:11.600 --> 00:29:13.840]   for a dev movement around it,
[00:29:13.840 --> 00:29:15.360]   which is why we're running the conference,
[00:29:15.360 --> 00:29:17.800]   which is why we're kind of looking to build
[00:29:17.800 --> 00:29:20.920]   and help kind of foster a community around what is A&M
[00:29:20.920 --> 00:29:23.520]   and what is that top right for development.
[00:29:23.520 --> 00:29:25.320]   And on the other side, on the company side,
[00:29:25.320 --> 00:29:27.280]   on the product side, is we're trying to think,
[00:29:27.280 --> 00:29:30.520]   what does a development platform for that look like?
[00:29:30.520 --> 00:29:32.160]   How do you write those specs?
[00:29:32.160 --> 00:29:33.200]   How do you advance it?
[00:29:33.200 --> 00:29:36.240]   And how do you plug tools along the way?
[00:29:36.240 --> 00:29:37.920]   Clearly we, you know, to build a product
[00:29:37.920 --> 00:29:40.840]   that has to be usable, it can be dependent on something else.
[00:29:40.840 --> 00:29:43.040]   So it's useful in its own right.
[00:29:43.040 --> 00:29:44.040]   But how do we think about that
[00:29:44.040 --> 00:29:46.720]   as something that facilitates the participation
[00:29:46.720 --> 00:29:48.720]   of others versus excluding them?
[00:29:48.720 --> 00:29:50.920]   Yeah, so that's my view on A&M development.
[00:29:50.920 --> 00:29:54.360]   And I've got many more, I can drill into any of these things.
[00:29:54.360 --> 00:29:56.680]   I think they're all on the deep topics.
[00:29:56.680 --> 00:30:00.400]   Yeah, I'm sure we can have a 24-hour podcast
[00:30:00.400 --> 00:30:02.880]   because it is actually really exciting.
[00:30:02.880 --> 00:30:04.560]   The more you mention it,
[00:30:04.560 --> 00:30:06.000]   it gets a little bit clearer
[00:30:06.000 --> 00:30:07.760]   where you're actually trying to achieve.
[00:30:07.760 --> 00:30:09.280]   And you think about the future,
[00:30:09.280 --> 00:30:11.320]   like you mentioned about Weimong,
[00:30:11.320 --> 00:30:13.600]   once you're able to actually fully trust
[00:30:13.600 --> 00:30:16.680]   that this car can actually get you from point to point B,
[00:30:16.680 --> 00:30:18.960]   your whole life changes potentially, right?
[00:30:18.960 --> 00:30:21.800]   The whole rules and everything around changes a lot.
[00:30:21.800 --> 00:30:25.320]   So I think it's really exciting to think about
[00:30:25.320 --> 00:30:26.640]   like the future development
[00:30:26.640 --> 00:30:29.480]   if we can fully trust a particular spec
[00:30:29.480 --> 00:30:32.240]   that is actually able to encapsulate
[00:30:32.240 --> 00:30:34.120]   what we really want to achieve,
[00:30:34.120 --> 00:30:35.560]   then the implementation tells,
[00:30:35.560 --> 00:30:38.080]   implementation details may not matter as much.
[00:30:38.080 --> 00:30:41.120]   But of course, the biggest challenge is the spec.
[00:30:41.120 --> 00:30:43.440]   It's the creation, maintenance,
[00:30:43.440 --> 00:30:44.800]   and the sort of iterations
[00:30:44.800 --> 00:30:48.080]   and the team dynamics around the spec, right?
[00:30:48.080 --> 00:30:51.320]   And so I'm sure there's so much details
[00:30:51.320 --> 00:30:53.720]   and probably be able to go to most of it.
[00:30:53.720 --> 00:30:54.840]   But you already mentioned like,
[00:30:54.840 --> 00:30:58.320]   there is this specification of what it kind of does
[00:30:58.320 --> 00:31:00.280]   and the specification of how it rerify,
[00:31:00.280 --> 00:31:02.160]   it actually does the correct things.
[00:31:02.160 --> 00:31:04.160]   And there's so many things in between.
[00:31:04.160 --> 00:31:05.440]   Can we talk about,
[00:31:05.440 --> 00:31:07.040]   you already looked a little bit,
[00:31:07.040 --> 00:31:09.800]   I'm very curious about the spec aspect,
