
[00:00:00.000 --> 00:00:02.400]   (upbeat music)
[00:18:06.520 --> 00:18:08.200]   'Cause I can imagine you also like,
[00:18:08.200 --> 00:18:10.680]   take the schema registry for Kafka, for example, wait.
[00:18:10.680 --> 00:18:11.520]   - We already do that.
[00:18:11.520 --> 00:18:14.360]   So we shipped that early last year.
[00:18:14.360 --> 00:18:15.200]   - Ah, nice.
[00:18:15.200 --> 00:18:16.800]   - I mean, we do that with a bunch of customers.
[00:18:16.800 --> 00:18:17.640]   - Got it.
[00:18:17.640 --> 00:18:18.760]   So then why buff stream?
[00:18:18.760 --> 00:18:20.160]   I guess probably the more easier question,
[00:18:20.160 --> 00:18:23.440]   like, why did you wanna actually build a Kafka replacement?
[00:18:23.440 --> 00:18:26.280]   Because I feel like that is more just the benefits
[00:18:26.280 --> 00:18:27.400]   you talked about maybe, right?
[00:18:27.400 --> 00:18:29.080]   Because Kafka replacements,
[00:18:29.080 --> 00:18:30.920]   there is quite a lot of different things
[00:18:30.920 --> 00:18:31.840]   you can go after here.
[00:18:31.840 --> 00:18:33.480]   So maybe talk about motivation here, like why?
[00:18:33.480 --> 00:18:34.640]   - Yeah.
[00:18:34.640 --> 00:18:36.120]   Like a lot of startups, right?
[00:18:36.120 --> 00:18:41.120]   This stuff comes from early and pretty deep engagements
[00:18:41.120 --> 00:18:42.800]   with our existing customers
[00:18:42.800 --> 00:18:45.200]   and with a couple of prospects.
[00:18:45.200 --> 00:18:47.440]   And all of those companies,
[00:18:47.440 --> 00:18:49.280]   which for the most part,
[00:18:49.280 --> 00:18:51.120]   the ones for this product,
[00:18:51.120 --> 00:18:53.840]   they're quite large and sophisticated.
[00:18:53.840 --> 00:18:56.720]   They would like to use part of us for everything,
[00:18:56.720 --> 00:19:01.040]   from their RPC APIs down through their message queues,
[00:19:01.040 --> 00:19:03.000]   their stream processing.
[00:19:03.000 --> 00:19:05.360]   And the only place they would like to get out of part of us
[00:19:05.360 --> 00:19:07.440]   is when things become per K.
[00:19:07.440 --> 00:19:10.760]   We started working with them early last year,
[00:19:10.760 --> 00:19:13.960]   so the kind of beginning of 2023.
[00:19:13.960 --> 00:19:17.960]   When we were building the Buff schema registry support
[00:19:17.960 --> 00:19:21.200]   for the Kafka registry protocol.
[00:19:21.200 --> 00:19:23.360]   We built that and we started talking to them and we're like,
[00:19:23.360 --> 00:19:25.800]   "Okay, did we fix it?"
[00:19:25.800 --> 00:19:28.560]   And their basic answer was not quite no.
[00:19:28.560 --> 00:19:31.320]   We still have a ton of problems.
[00:19:31.320 --> 00:19:33.200]   And the basic problem they had was
[00:19:33.200 --> 00:19:35.480]   kind of what we've articulated already.
[00:19:35.480 --> 00:19:37.360]   They have an end-to-end problem
[00:19:37.360 --> 00:19:40.120]   and they don't want a collection
[00:19:40.120 --> 00:19:43.040]   of individual layered solutions
[00:19:43.040 --> 00:19:46.360]   that they then need to go and ensure
[00:19:46.360 --> 00:19:49.160]   that every code base layers correctly.
[00:19:49.160 --> 00:19:52.040]   So for Kafka in particular,
[00:19:52.040 --> 00:19:53.200]   it's where we started
[00:19:53.200 --> 00:19:56.080]   because in a modern data architecture,
[00:19:56.080 --> 00:19:59.280]   that's typically where you're making the transition
[00:19:59.280 --> 00:20:02.600]   from your online transaction processing world
[00:20:02.600 --> 00:20:07.600]   into your data engineering offline stream processing,
[00:20:07.600 --> 00:20:11.600]   kind of semi real time, but not hard real time work.
[00:20:11.600 --> 00:20:13.560]   And that's where you're crossing the boundary
[00:20:13.560 --> 00:20:15.680]   into analytic data use cases.
[00:20:15.680 --> 00:20:19.840]   The basic problem that our customers have
[00:20:19.840 --> 00:20:22.600]   is that the Kafka team,
[00:20:22.600 --> 00:20:25.480]   like the streaming data team at their company,
[00:20:25.480 --> 00:20:28.600]   they view their job as accurately schlepping
[00:20:28.600 --> 00:20:30.120]   the bytes around.
[00:20:30.120 --> 00:20:32.480]   And so from the Kafka team's perspective,
[00:20:32.480 --> 00:20:34.160]   they run Apache Kafka
[00:20:34.160 --> 00:20:37.520]   or they help to manage the confluent install or whatever.
[00:20:37.520 --> 00:20:40.880]   And their job is to get the bytes
[00:20:40.880 --> 00:20:42.360]   that they're handed by the producer
[00:20:42.360 --> 00:20:44.480]   and give them to the consumer.
[00:20:44.480 --> 00:20:46.360]   And that's kind of the end of it.
[00:20:46.360 --> 00:20:48.680]   If anything about the bytes is wrong
[00:20:48.680 --> 00:20:51.520]   or the bytes were not supposed to be there to begin with,
[00:20:51.520 --> 00:20:53.240]   that's a conversation that the consumer
[00:20:53.240 --> 00:20:55.760]   needs to take up with the producer.
[00:20:55.760 --> 00:20:58.200]   And now you're in this like who done it murder mystery
[00:20:58.200 --> 00:21:01.440]   of like there was a man in the floating point numbers.
[00:21:01.440 --> 00:21:04.160]   And now some exec is looking at like a revenue dashboard
[00:21:04.160 --> 00:21:05.520]   that just says man.
[00:21:05.520 --> 00:21:07.160]   And everyone's scrambling to figure out
[00:21:07.160 --> 00:21:08.360]   where this thing came from,
[00:21:08.360 --> 00:21:10.840]   which stream processing job along the way introduced it.
[00:21:10.840 --> 00:21:13.200]   Like who's fault is this basically?
[00:21:13.200 --> 00:21:14.920]   This is just not really workable.
[00:21:14.920 --> 00:21:19.520]   It's not what the business wants out of the data platform.
[00:21:19.520 --> 00:21:22.960]   What the business wants is they want some guarantee
[00:21:22.960 --> 00:21:27.480]   that yes, the bytes are making their way around correctly.
[00:21:27.480 --> 00:21:29.240]   But more importantly,
[00:21:29.240 --> 00:21:33.400]   that the business entities being modeled by these topics
[00:21:33.400 --> 00:21:35.400]   are moving around correctly.
[00:21:35.400 --> 00:21:39.400]   That consumers can rely on getting valid data
[00:21:39.400 --> 00:21:42.160]   out of this system as a platform guarantee,
[00:21:42.160 --> 00:21:46.360]   not as a best effort go talk to the producer guarantee.
[00:21:46.360 --> 00:21:50.600]   And then furthermore that this system has built in hooks
[00:21:50.600 --> 00:21:52.800]   to enable the kind of data governance
[00:21:52.800 --> 00:21:55.200]   that they're increasingly concerned about.
[00:21:55.200 --> 00:21:59.000]   And so we started working on this with a gateway, right?
[00:21:59.000 --> 00:22:00.880]   If you look at that problem and you kind of smell it
[00:22:00.880 --> 00:22:03.960]   and you're like, ah, this feels like an API gateway.
[00:22:03.960 --> 00:22:07.120]   Like that's how I would solve this over in networking land.
[00:22:07.120 --> 00:22:09.920]   I would slap a sidecard next to your process.
[00:22:09.920 --> 00:22:11.960]   I would inspect the data as it comes in and out.
[00:22:11.960 --> 00:22:12.800]   I would redact it.
[00:22:12.800 --> 00:22:13.640]   I would load balance it.
[00:22:13.640 --> 00:22:16.080]   I'd have some control plan for policy data.
[00:22:16.080 --> 00:22:17.240]   And that's how we would fix this.
[00:22:17.240 --> 00:22:18.520]   And that's roughly how Envoy works.
[00:22:18.520 --> 00:22:21.320]   It's kind of a commoditized architecture.
[00:22:21.320 --> 00:22:23.200]   And you look over at Kafka and you're like,
[00:22:23.200 --> 00:22:24.600]   there's not really anything like this.
[00:22:24.600 --> 00:22:26.200]   Like this smells like a similar problem.
[00:22:26.200 --> 00:22:27.720]   Let's try this out.
[00:22:27.720 --> 00:22:29.760]   And so we built a gateway,
[00:22:29.760 --> 00:22:31.440]   which does all that stuff for Kafka.
[00:22:31.440 --> 00:22:33.360]   And of course it has to speak the Kafka protocol,
[00:22:33.360 --> 00:22:37.760]   which is particularly onerous to implement.
[00:22:37.760 --> 00:22:39.960]   And it mostly works.
[00:22:39.960 --> 00:22:43.400]   The problem is that it's really irritatingly complicated.
[00:22:43.400 --> 00:22:45.680]   And there are key pieces of this
[00:22:45.680 --> 00:22:47.520]   that you just cannot do as a proxy.
[00:22:47.520 --> 00:22:49.680]   You have to own the data layer.
[00:22:49.680 --> 00:22:51.920]   And the most important thing,
[00:22:51.920 --> 00:22:53.760]   I'll actually say the two key things
[00:22:53.760 --> 00:22:58.240]   that we were unable to do in a satisfying way with a proxy,
[00:22:58.240 --> 00:22:59.480]   were number one,
[00:22:59.480 --> 00:23:02.680]   making all of these correctness things a guarantee
[00:23:02.680 --> 00:23:04.640]   and not best effort.
[00:23:04.640 --> 00:23:07.080]   What we were telling our early prospects to do
[00:23:07.080 --> 00:23:09.200]   is to configure firewall rules
[00:23:09.200 --> 00:23:12.600]   to make sure that only the proxies can talk to the brokers.
[00:23:12.600 --> 00:23:15.360]   And that's just very laborious and painful.
[00:23:15.360 --> 00:23:17.280]   From a functionality perspective,
[00:23:17.280 --> 00:23:19.120]   the biggest thing that we couldn't do
[00:23:19.120 --> 00:23:22.800]   is we couldn't control the format of the data
[00:23:22.800 --> 00:23:24.840]   on Discord and S3.
[00:23:24.840 --> 00:23:26.280]   And really what we want
[00:23:26.280 --> 00:23:29.760]   is we want the native format of your Kafka topics
[00:23:29.760 --> 00:23:31.280]   to be parquet files.
[00:23:31.280 --> 00:23:35.520]   That lets you get huge efficiency benefits
[00:23:35.520 --> 00:23:37.880]   and simplicity benefits.
[00:23:37.880 --> 00:23:39.000]   And so we looked at that
[00:23:39.000 --> 00:23:41.320]   and we kind of looked at this gateway product and we said,
[00:23:41.320 --> 00:23:44.120]   ugh, like this is cool,
[00:23:44.120 --> 00:23:46.120]   but we can do dramatically better
[00:23:46.120 --> 00:23:49.680]   if we own the storage layer.
[00:23:49.680 --> 00:23:52.920]   And we've already implemented the whole protocol.
[00:23:52.920 --> 00:23:55.720]   We might as well own the storage layer too.
[00:23:55.720 --> 00:23:56.880]   So that's what we did.
[00:23:56.880 --> 00:24:00.600]   - Can you explain why,
[00:24:00.600 --> 00:24:02.040]   like you said so much that I'm like,
[00:24:02.040 --> 00:24:04.200]   okay, we need to step back and have a little explanation,
[00:24:04.200 --> 00:24:06.120]   but could you explain
[00:24:06.120 --> 00:24:08.800]   why parquet is the right format for Kafka?
[00:24:08.800 --> 00:24:11.080]   Like what are the efficiencies that you're seeing?
[00:24:11.080 --> 00:24:12.080]   'Cause you talked before
[00:24:12.080 --> 00:24:13.560]   or is that you had this sort of transmission layer
[00:24:13.560 --> 00:24:15.560]   as a transformation layer,
[00:24:15.560 --> 00:24:17.040]   a lot of things per buck turned to parquet.
[00:24:17.040 --> 00:24:20.200]   And I'm like, but why is parquet the right format?
[00:24:20.200 --> 00:24:22.600]   Like if you had a parquet native stream processor,
[00:24:22.600 --> 00:24:24.880]   why is parquet the right solution?
[00:24:24.880 --> 00:24:28.360]   - There are a couple of things that are really good
[00:24:28.360 --> 00:24:31.320]   about parquet from a theoretical perspective
[00:24:31.320 --> 00:24:33.240]   and then there's a practical angle.
[00:24:33.240 --> 00:24:36.480]   And the most important practical angle is that
[00:24:36.480 --> 00:24:39.640]   maybe this is getting into the kind of spicy hot takes world,
[00:24:39.640 --> 00:24:42.880]   but in my view, really elaborate
[00:24:42.880 --> 00:24:45.280]   stream processing architectures,
[00:24:45.280 --> 00:24:47.400]   they're kind of 2015 vintage.
[00:24:47.400 --> 00:24:49.200]   Like, oh, we're really excited.
[00:24:49.200 --> 00:24:51.760]   You know, we're gonna do storm and Heron and Samza
[00:24:51.760 --> 00:24:52.680]   and Spark streaming.
[00:24:52.680 --> 00:24:54.120]   And we're gonna get really bent out of shape
[00:24:54.120 --> 00:24:56.520]   about whether you're streaming is micro batching
[00:24:56.520 --> 00:24:58.000]   or truly streaming.
[00:24:58.000 --> 00:25:00.480]   My sense is that for the most part,
[00:25:00.480 --> 00:25:03.440]   this has gone the way of eventually
[00:25:03.440 --> 00:25:05.840]   consistent transactional databases.
[00:25:05.840 --> 00:25:09.400]   The programming model is too complicated for most use cases.
[00:25:09.400 --> 00:25:12.040]   And instead, we wanna take all that stuff
[00:25:12.040 --> 00:25:17.040]   and we wanna do most of it in a near real time batch kind of way.
[00:25:17.040 --> 00:25:19.680]   Or at least that's the programming model
[00:25:19.680 --> 00:25:22.600]   you wanna present people, SQL.
[00:25:22.600 --> 00:25:26.800]   Over in that world, parquet is the lingua franca of data.
[00:25:26.800 --> 00:25:29.760]   It's like CSV for business data.
[00:25:29.760 --> 00:25:32.760]   If you wanna deal with iceberg or Delta Lake
[00:25:32.760 --> 00:25:36.360]   or hoodie or duck DB or arrow,
[00:25:36.360 --> 00:25:38.920]   parquet is the bedrock of all of that.
[00:25:38.920 --> 00:25:42.800]   And there's a ton of complexity in systems like hoodie.
[00:25:42.800 --> 00:25:44.920]   But really, it's just a bunch of parquet files
[00:25:44.920 --> 00:25:47.920]   with a really simple set of manifest files on top of it
[00:25:47.920 --> 00:25:50.880]   that just tell you what data is in which parquet file.
[00:25:50.880 --> 00:25:53.360]   And so for topics that have a schema,
[00:25:53.360 --> 00:25:55.760]   which is most of the ones that matter,
[00:25:55.760 --> 00:25:58.240]   if you're natively storing Kafka,
[00:25:58.240 --> 00:26:00.560]   your Kafka data as parquet,
[00:26:00.560 --> 00:26:02.200]   it's really only a hop skip and a jump
[00:26:02.200 --> 00:26:06.920]   to also materialize the manifest files that you need.
[00:26:06.920 --> 00:26:09.200]   And now you go all the way back
[00:26:09.200 --> 00:26:13.520]   to Jay Crapz's original blog post on Kafka.
[00:26:13.520 --> 00:26:15.960]   And he made a big deal at the time
[00:26:15.960 --> 00:26:18.560]   about stream table duality.
[00:26:18.560 --> 00:26:20.280]   Jay Crapz was talking about it a couple of years later
[00:26:20.280 --> 00:26:21.800]   Martin Kletman gives the blog post
[00:26:21.800 --> 00:26:24.160]   and we're turning the database inside out.
[00:26:24.160 --> 00:26:26.560]   And at the time, I think everyone really interpreted that
[00:26:26.560 --> 00:26:29.720]   to mean, oh my God, we've gotta do case equal DB.
[00:26:29.720 --> 00:26:32.160]   We've gotta have Flink support SQL
[00:26:32.160 --> 00:26:34.400]   as a true stream processing abstraction.
[00:26:34.400 --> 00:26:36.800]   But I think where we've ended up actually is that
[00:26:36.800 --> 00:26:40.680]   we want all the application logic to be SQL like
[00:26:40.680 --> 00:26:41.960]   for the most part.
[00:26:41.960 --> 00:26:44.240]   And we wanna use Kafka kind of as a way of like
[00:26:44.240 --> 00:26:48.720]   directly accessing the write ahead log of the database.
[00:26:48.720 --> 00:26:52.360]   And if we can store your Kafka data as an iceberg table
[00:26:52.360 --> 00:26:55.300]   or as parquet files, we're there.
[00:26:55.300 --> 00:26:58.920]   Writing to a Kafka topic becomes the same thing
[00:26:58.920 --> 00:27:02.220]   as appending to your lake house table.
[00:27:02.220 --> 00:27:04.800]   And your consumers can choose the access modality
[00:27:04.800 --> 00:27:06.760]   that makes the most sense for them.
[00:27:06.760 --> 00:27:10.800]   They can get record at a time via the Kafka API
[00:27:10.800 --> 00:27:15.800]   or they can jack this S3 bucket into their query engine
[00:27:15.800 --> 00:27:19.080]   as an external table and they can run whatever SQL queries
[00:27:19.080 --> 00:27:19.920]   they'd like.
[00:27:19.920 --> 00:27:23.120]   And if you look at what people do in practice,
[00:27:23.120 --> 00:27:26.440]   this is kind of the default architecture.
[00:27:26.440 --> 00:27:27.640]   It even has a name.
[00:27:27.640 --> 00:27:29.800]   This is the medallion architecture.
[00:27:29.800 --> 00:27:33.800]   And your Kafka topics are your 10 or bronze tables.
[00:27:33.800 --> 00:27:35.280]   And then you're gonna run SQL
[00:27:35.280 --> 00:27:37.760]   or you're gonna run some processing on the other end
[00:27:37.760 --> 00:27:41.280]   to refine that data into lower volume,
[00:27:41.280 --> 00:27:44.600]   more like analysis ready tables.
[00:27:44.600 --> 00:27:46.320]   But all that stuff doesn't need to require
[00:27:46.320 --> 00:27:49.440]   another distributed system to copy the data around.
[00:27:49.440 --> 00:27:52.240]   It doesn't need to require another whole copy of the data,
[00:27:52.240 --> 00:27:54.360]   which is extortionately expensive.
[00:27:54.360 --> 00:27:56.680]   We can just do that at rest.
[00:27:56.680 --> 00:27:59.280]   We can build that end-to-end in a way that's ready
[00:27:59.280 --> 00:28:01.960]   to use in one step and one system.
[00:28:01.960 --> 00:28:04.840]   I think parquet as a format has kind of one.
[00:28:04.840 --> 00:28:07.400]   It has some things that are not great about it.
[00:28:07.400 --> 00:28:09.600]   And there are a lot of people trying to do better.
[00:28:09.600 --> 00:28:11.600]   So like Facebook just did Nimble.
[00:28:11.600 --> 00:28:13.640]   It's really interesting.
[00:28:13.640 --> 00:28:15.760]   And I don't really have a strong opinion
[00:28:15.760 --> 00:28:17.440]   about whether Nimble has nailed
[00:28:17.440 --> 00:28:19.800]   all of the important problems with parquet.
[00:28:19.800 --> 00:28:24.720]   - Yeah, I guess we should let the format wars begin, huh?
[00:28:24.720 --> 00:28:27.120]   - Yeah, I mean, we're already fighting over
[00:28:27.120 --> 00:28:28.360]   in the lake as formats.
[00:28:28.360 --> 00:28:29.880]   And I guess we're gonna like push
[00:28:29.880 --> 00:28:32.080]   that bite one layer down too.
[00:28:32.080 --> 00:28:34.120]   - One more standard to rule them all.
[00:28:34.120 --> 00:28:36.200]   - That's right.
[00:28:36.200 --> 00:28:39.920]   So I wanna move on to something we call the spicy future.
[00:28:39.920 --> 00:28:41.400]   - Spicy futures.
[00:28:41.400 --> 00:28:47.600]   - As a very simply understood,
[00:28:47.600 --> 00:28:49.720]   we want you to tell us what you believe
[00:28:49.720 --> 00:28:50.920]   that most people don't believe in.
[00:28:50.920 --> 00:28:52.160]   And I think you already have something.
[00:28:52.160 --> 00:28:55.040]   So what is the spicy hot take
[00:28:55.040 --> 00:28:57.080]   of the data engineering world that you have?
[00:28:57.080 --> 00:29:01.480]   - I think all of this was a mistake.
[00:29:01.480 --> 00:29:06.160]   Like the idea that really kicked off a lot
[00:29:06.160 --> 00:29:08.760]   of our focus on big data.
[00:29:08.760 --> 00:29:11.360]   We've got J-Crafts and Martin Klubman and DJ Patil.
[00:29:11.360 --> 00:29:16.200]   And we're all gonna say that lurking in this mass of data
[00:29:16.200 --> 00:29:19.240]   are these business changing insights.
[00:29:19.240 --> 00:29:20.840]   And if we could only build you
[00:29:20.840 --> 00:29:22.960]   the incredibly modular, expensive,
[00:29:22.960 --> 00:29:25.360]   operationally complex stack.
[00:29:25.360 --> 00:29:27.700]   And if you would only staff up a whole new function
[00:29:27.700 --> 00:29:29.920]   of people to operate that thing for you.
[00:29:30.800 --> 00:29:34.120]   And then if you would only staff a team of data engineers
[00:29:34.120 --> 00:29:38.600]   to get the like low rent analysis off their plate,
[00:29:38.600 --> 00:29:43.600]   we could have this aristocracy of data scientists show up
[00:29:43.600 --> 00:29:46.360]   and just start delivering game changing insights.
[00:29:46.360 --> 00:29:49.160]   I mean, every company would have their people
[00:29:49.160 --> 00:29:52.000]   you may know LinkedIn feature equivalent.
[00:29:52.000 --> 00:29:54.680]   And they'd be shipping them like once a month.
[00:29:54.680 --> 00:29:56.720]   And that just has not panned out.
[00:29:56.720 --> 00:29:59.720]   Company after company has invested in this stack.
[00:29:59.720 --> 00:30:02.680]   And what they've gotten at the end, for the most part,
[00:30:02.680 --> 00:30:06.760]   is an approach that works for well-understood
[00:30:06.760 --> 00:30:08.160]   business critical problems.
[00:30:08.160 --> 00:30:10.680]   So Uber that is surge pricing, right?
[00:30:10.680 --> 00:30:14.400]   That is the dominant use for a bunch of this data.
[00:30:14.400 --> 00:30:16.720]   And it has been business critical from day one.
[00:30:16.720 --> 00:30:18.240]   Everybody knew that.
[00:30:18.240 --> 00:30:20.640]   It wasn't some new problem that emerged
[00:30:20.640 --> 00:30:22.480]   and was discovered in the data.
[00:30:22.480 --> 00:30:26.600]   And the other thing that companies can achieve
[00:30:26.600 --> 00:30:29.000]   is they can achieve an easier-to-use,
[00:30:29.000 --> 00:30:31.800]   more user-friendly analysis pipeline
[00:30:31.800 --> 00:30:35.120]   that doesn't require calling your friendly business analyst
[00:30:35.120 --> 00:30:39.760]   to run some crazy SQL Terra data monster for you.
[00:30:39.760 --> 00:30:42.120]   For the most part, people are not churning out
[00:30:42.120 --> 00:30:44.440]   these game-changing insights
[00:30:44.440 --> 00:30:48.640]   on a regular and predictable basis.
[00:30:48.640 --> 00:30:52.560]   And I think the consequences of that are pretty far-reaching.
[00:30:52.560 --> 00:30:55.960]   To me, it means that as in for people,
[00:30:55.960 --> 00:30:59.840]   the idea that you can sell an incredibly expensive,
[00:30:59.840 --> 00:31:02.840]   piecemeal, difficult to operate data platform
[00:31:02.840 --> 00:31:07.920]   that needs a dedicated crew of people to manage and integrate.
[00:31:07.920 --> 00:31:09.080]   And in Kafka's case, you're like,
[00:31:09.080 --> 00:31:10.640]   oh, I need a dedicated crew of people
[00:31:10.640 --> 00:31:14.840]   that just deals with partition rebalancing and operations.
[00:31:14.840 --> 00:31:16.480]   And that the way you sell that
[00:31:16.480 --> 00:31:20.320]   is the future value of this game-changing analysis.
[00:31:20.320 --> 00:31:21.520]   That's dead.
[00:31:21.520 --> 00:31:24.080]   That money is not available anymore.
[00:31:24.080 --> 00:31:26.760]   Increasingly, I suspect companies are gonna be unwilling
[00:31:26.760 --> 00:31:28.360]   to bite this off.
[00:31:28.360 --> 00:31:31.160]   And so that means from an infra perspective,
[00:31:31.160 --> 00:31:36.040]   we need to refocus on delivering end-to-end platforms
[00:31:36.040 --> 00:31:39.800]   that bake in best practices into the technology
[00:31:39.800 --> 00:31:42.360]   and not into a complicated user guide
[00:31:42.360 --> 00:31:44.960]   where you're buying data engineering,
[00:31:44.960 --> 00:31:46.520]   the definitive guide from O'Reilly,
[00:31:46.520 --> 00:31:49.680]   and it makes that big thump when you drop it on the desk.
[00:31:49.680 --> 00:31:54.280]   So I think a lot of our data in front today needs to pivot.
[00:31:54.280 --> 00:31:56.760]   And I think this is the place
[00:31:56.760 --> 00:32:00.480]   where the modern data stack needs the equivalent
[00:32:00.480 --> 00:32:05.200]   of the Hortonworks and the Cloud era of 2010.
[00:32:05.200 --> 00:32:10.320]   - I mean, this is something I've talked about a lot.
[00:32:10.320 --> 00:32:14.160]   It's like, I think we're in the cloud consolidation phase,
[00:32:14.160 --> 00:32:16.240]   right, where we went through this like crazy thing
[00:32:16.240 --> 00:32:19.320]   over the last 15 years, since 2010, right?
[00:32:19.320 --> 00:32:23.720]   And this is happening in AI right now,
[00:32:23.720 --> 00:32:26.320]   but like, you know, in cloud and data,
[00:32:26.320 --> 00:32:28.480]   it's like we had this massive Cambridge explosion
[00:32:28.480 --> 00:32:30.480]   of all these technologies and all these companies.
[00:32:30.480 --> 00:32:32.280]   We ended up with this like crazy polyglot,
[00:32:32.280 --> 00:32:34.560]   like weirdo architecture.
[00:32:34.560 --> 00:32:37.880]   It's like we picked different shaped like Lego bricks
[00:32:37.880 --> 00:32:39.400]   that none of them actually fit together.
[00:32:39.400 --> 00:32:41.040]   It's like we went to every universe
[00:32:41.040 --> 00:32:42.960]   and like what's your Lego style?
[00:32:42.960 --> 00:32:44.720]   And we just took them all and put them in a stack
[00:32:44.720 --> 00:32:46.920]   and then tried to build Lego with it.
[00:32:46.920 --> 00:32:48.840]   This is what cloud architecture feels like today.
[00:32:48.840 --> 00:32:52.200]   Like the cloud native ecosystem is still, you know,
[00:32:52.200 --> 00:32:54.120]   1000 plus different components
[00:32:54.120 --> 00:32:56.240]   and they all work differently, it's all weird.
[00:32:56.240 --> 00:32:59.240]   And so I like finally agree with what you're saying.
[00:32:59.240 --> 00:33:01.240]   I guess the question is, what do you think causes?
[00:33:01.240 --> 00:33:03.680]   Like there's all these like macroeconomic drivers, right?
[00:33:03.680 --> 00:33:06.040]   Like interest rates are at 5% and you know,
[00:33:06.040 --> 00:33:07.920]   capital's not free and what we're kind of
[00:33:07.920 --> 00:33:09.800]   in this like tech recession, but what do you think?
[00:33:09.800 --> 00:33:12.600]   Like I generally agree with what you're saying.
[00:33:12.600 --> 00:33:14.960]   Now like, how do you think this consolidation occurs?
[00:33:14.960 --> 00:33:17.640]   What do you think drives a consolidation?
[00:33:17.640 --> 00:33:18.680]   - That's a great question.
[00:33:18.680 --> 00:33:20.640]   So the first thing I would say is,
[00:33:20.640 --> 00:33:22.880]   this isn't limited to the cloud
[00:33:22.880 --> 00:33:26.320]   because these same architectures are being used on-prem.
[00:33:26.320 --> 00:33:28.000]   Uber actually, I think they just published
[00:33:28.000 --> 00:33:31.240]   this big blog post on this system called Oden.
[00:33:31.240 --> 00:33:32.800]   And really what Oden is,
[00:33:32.800 --> 00:33:35.160]   is it's trying to bring some consistently
[00:33:35.160 --> 00:33:37.960]   to manage data gravity and operations
[00:33:37.960 --> 00:33:41.800]   for disks full of data that you can't just you know,
[00:33:41.800 --> 00:33:44.800]   eat into the cloud and never think about again.
[00:33:44.800 --> 00:33:48.280]   So this same problem exists for on-prem workloads.
[00:33:48.280 --> 00:33:52.440]   My sensors, this is partly an economic situation
[00:33:52.440 --> 00:33:54.760]   where you're right, you know, budgets are down,
[00:33:54.760 --> 00:33:58.160]   the cloud is really expensive, interest rates are up.
[00:33:58.160 --> 00:34:01.480]   But this is partly also an acknowledgement
[00:34:01.480 --> 00:34:05.760]   that these systems are just very, very, very complicated
[00:34:05.760 --> 00:34:07.520]   to run and operate.
[00:34:07.520 --> 00:34:11.160]   And there are only so many companies
[00:34:11.160 --> 00:34:15.760]   that want to fund an expansive data engineering team
[00:34:15.760 --> 00:34:18.400]   to enable their analysts.
[00:34:18.400 --> 00:34:22.160]   And their analysts needs tend to be relatively straightforward.
[00:34:22.160 --> 00:34:24.720]   You know, really I want something that speaks SQL
[00:34:24.720 --> 00:34:28.520]   that I can jack into my dashboarding
[00:34:28.520 --> 00:34:30.400]   and query engine of choice, you know.
[00:34:30.400 --> 00:34:32.320]   At one point that would have been tableau or liquor.
[00:34:32.320 --> 00:34:35.720]   I think that world has expanded a lot since then.
[00:34:35.720 --> 00:34:40.560]   But it's hard to justify millions in headcount
[00:34:40.560 --> 00:34:44.320]   on an ongoing basis to support that use case.
[00:34:44.320 --> 00:34:46.360]   It doesn't pass the smell test.
[00:34:46.360 --> 00:34:50.480]   - I mean, that's a super salient point.
[00:34:50.480 --> 00:34:53.200]   It is just the headcount expense to manage these systems.
[00:34:53.200 --> 00:34:56.000]   And the fact that like a lot of the complexity systems
[00:34:56.000 --> 00:34:58.720]   comes from the fact that they're funny shaped Lego bricks
[00:34:58.720 --> 00:35:00.920]   that weren't thought about being run together, right?
[00:35:00.920 --> 00:35:03.320]   It's like the glue is where all the work is
[00:35:03.320 --> 00:35:06.200]   and that glue is very expensive.
[00:35:06.200 --> 00:35:08.480]   So I'm curious, like, what do you think the future
[00:35:08.480 --> 00:35:12.120]   of a data org looks like or an engine organization looks like?
[00:35:12.120 --> 00:35:14.240]   What is the future of these organizations?
[00:35:14.240 --> 00:35:16.120]   'Cause if we're starting at the point is like,
[00:35:16.120 --> 00:35:18.440]   we're spending millions and millions of dollars in headcount
[00:35:18.440 --> 00:35:20.960]   on things that we don't necessarily need to
[00:35:20.960 --> 00:35:22.000]   if there was consolidation.
[00:35:22.000 --> 00:35:24.160]   Like what's the future organizational click?
[00:35:24.160 --> 00:35:28.480]   'Cause we got here through like the broad concept
[00:35:28.480 --> 00:35:30.880]   of like platform teams and feature teams, right?
[00:35:30.880 --> 00:35:32.800]   And that's how we ended up in this world
[00:35:32.800 --> 00:35:34.240]   where you have like the Kafka team
[00:35:34.240 --> 00:35:36.120]   that just runs Kafka into the carbo bytes
[00:35:36.120 --> 00:35:37.720]   'cause that's the way we drew their boundary.
[00:35:37.720 --> 00:35:40.160]   Like, do you think there's like a fundamental
[00:35:40.160 --> 00:35:42.640]   engineering culture change that has to occur?
[00:35:42.640 --> 00:35:44.400]   How do you think this all changes?
[00:35:44.400 --> 00:35:46.560]   - I think my view of engineering culture
[00:35:46.560 --> 00:35:49.400]   is that a lot of it ends up shaped by the tools
[00:35:49.400 --> 00:35:52.400]   that we use and that we invest ourselves
[00:35:52.400 --> 00:35:54.680]   and our identities and our careers in.
[00:35:54.680 --> 00:35:56.880]   And so the best way to change the culture
