
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:16:06.100 --> 00:16:07.860]   the costs to run them is huge.
[00:16:07.860 --> 00:16:11.180]   The systems are very like not repeatable.
[00:16:11.180 --> 00:16:13.460]   Everyone basically building a one off.
[00:16:13.460 --> 00:16:15.660]   The hardware is hyper specialized,
[00:16:15.660 --> 00:16:19.460]   and we continue to like pursue more specialized hardware.
[00:16:19.460 --> 00:16:22.060]   There's lots of new inference hardware chips
[00:16:22.060 --> 00:16:24.420]   and all those other different things coming down the pipe.
[00:16:24.420 --> 00:16:26.700]   And broadly that's because we're trying to pursue
[00:16:26.700 --> 00:16:29.380]   the ability for like compute and prediction
[00:16:29.380 --> 00:16:31.780]   or the use or inference to be cheap, right?
[00:16:31.780 --> 00:16:34.780]   And so that's the next phase is like,
[00:16:34.780 --> 00:16:37.820]   how do we get these AI systems to be cattle instead of pets?
[00:16:37.820 --> 00:16:40.220]   How do we get them to be repeatable instead of pets?
[00:16:40.220 --> 00:16:42.020]   And that's how I've been thinking about it.
[00:16:42.020 --> 00:16:43.500]   The last couple of years have been like,
[00:16:43.500 --> 00:16:46.060]   okay, let's just scale, scale, scale,
[00:16:46.060 --> 00:16:48.620]   specialized hardware, specialized compute, specialized.
[00:16:48.620 --> 00:16:51.260]   Everything was just tune, tune, tune, tune, tune.
[00:16:51.260 --> 00:16:55.980]   And over time, like what happened in the early 2000s,
[00:16:55.980 --> 00:16:58.180]   you know, Google was a good example of this.
[00:16:58.180 --> 00:17:00.260]   Everyone was deploying specialized hardware.
[00:17:00.260 --> 00:17:02.060]   There are a bunch of pets all over the place
[00:17:02.060 --> 00:17:03.140]   and Google bases like, no, no,
[00:17:03.140 --> 00:17:05.460]   we're just gonna rack and stack commodity hardware.
[00:17:05.460 --> 00:17:08.220]   And we're gonna invest in building, you know,
[00:17:08.220 --> 00:17:10.380]   the software layer that makes it possible
[00:17:10.380 --> 00:17:13.220]   for software to be treated like a bunch of cattle.
[00:17:13.220 --> 00:17:15.260]   And if, you know, the hard disk crashes, whatever,
[00:17:15.260 --> 00:17:16.380]   there's like a thousand other ones
[00:17:16.380 --> 00:17:18.300]   that have a portion of the data someplace
[00:17:18.300 --> 00:17:20.780]   or like they're up there serving compute.
[00:17:20.780 --> 00:17:24.900]   And so it feels like with AI or LLMs and more broadly,
[00:17:24.900 --> 00:17:26.740]   we're at the sort of like pets on a cattle stage
[00:17:26.740 --> 00:17:28.060]   and we need to get to the cattle stage.
[00:17:28.060 --> 00:17:30.580]   And then I think the unique thing that you said is like,
[00:17:30.580 --> 00:17:33.980]   the unique value in AI to the next phase
[00:17:33.980 --> 00:17:35.220]   is still just comes down to like,
[00:17:35.220 --> 00:17:36.620]   what unique data do you have?
[00:17:36.620 --> 00:17:38.900]   More importantly, what's the unique data structure
[00:17:38.900 --> 00:17:41.300]   that you have that enables these systems
[00:17:41.300 --> 00:17:43.700]   to actually like interpret what's going on?
[00:17:43.700 --> 00:17:44.820]   Right, we're still on the phase of like,
[00:17:44.820 --> 00:17:47.540]   how do you model the problem, right?
[00:17:47.540 --> 00:17:49.980]   And I think the lossless tree episode
[00:17:49.980 --> 00:17:52.580]   talking about like code migration is like,
[00:17:52.580 --> 00:17:54.540]   actually we still haven't yet discovered
[00:17:54.540 --> 00:17:56.700]   what the right modeling of the problem is
[00:17:56.700 --> 00:17:58.660]   so we can actually solve it.
[00:17:58.660 --> 00:18:00.580]   And I think that's what I learned at least
[00:18:00.580 --> 00:18:01.700]   from Jonathan and Moderna.
[00:18:01.700 --> 00:18:03.180]   It was like, oh, actually this problem space
[00:18:03.180 --> 00:18:05.460]   is really complicated 'cause it's really a context issue
[00:18:05.460 --> 00:18:07.380]   to even under, to have the context understand
[00:18:07.380 --> 00:18:10.460]   like what a potential good solution even looked like
[00:18:10.460 --> 00:18:12.860]   and then how do you even evaluate what a good solution is?
[00:18:12.860 --> 00:18:15.300]   That was really quite fascinating.
[00:18:15.300 --> 00:18:16.180]   - Yeah, I think so too.
[00:18:16.180 --> 00:18:18.860]   And also like just last footnote is I think
[00:18:18.860 --> 00:18:22.020]   it's almost like we used to have no computers before, right?
[00:18:22.020 --> 00:18:24.900]   So we always have to like human labor everywhere
[00:18:24.900 --> 00:18:27.300]   to like do everything related.
[00:18:27.300 --> 00:18:29.580]   But once we have computer scientists,
[00:18:29.580 --> 00:18:33.420]   you know, since we're able to have any compute primitives,
[00:18:33.420 --> 00:18:36.180]   now we have to like start to think of what is the way
[00:18:36.180 --> 00:18:39.820]   we can even turn this into a set of APIs or programs
[00:18:39.820 --> 00:18:42.500]   to solve shipping, you know, phone calls
[00:18:42.500 --> 00:18:44.140]   and all the sort of like related things
[00:18:44.140 --> 00:18:45.740]   that we only do by hand, right?
[00:18:45.740 --> 00:18:48.060]   And I think AI is almost like the next generation of like,
[00:18:48.060 --> 00:18:51.740]   okay, like AI can enable it to solve this now.
[00:18:51.740 --> 00:18:55.420]   But you know, I can't just throw this to the computers,
[00:18:55.420 --> 00:18:57.420]   computers have no idea what the hell you're talking about, right?
[00:18:57.420 --> 00:19:00.140]   This is AI still have no idea what you're talking about either.
[00:19:00.140 --> 00:19:02.740]   So it's like this new abstraction layer
[00:19:02.740 --> 00:19:05.460]   that needs to be required and that's hard.
[00:19:05.460 --> 00:19:07.540]   I don't think we have an easy answer at all.
[00:19:07.540 --> 00:19:10.740]   And that's the opportunity for so many things of the companies
[00:19:10.740 --> 00:19:14.700]   to come in and actually solve a broader set of problems for them.
[00:19:14.700 --> 00:19:17.020]   - That's a great segue into my final sort of takeaway,
[00:19:17.020 --> 00:19:19.700]   which is, you know, now the neurops has occurred.
[00:19:19.700 --> 00:19:21.700]   I wasn't there, but it's, but like, you know,
[00:19:21.700 --> 00:19:23.740]   with the death of pre-training, like we kind of talked about it.
[00:19:23.740 --> 00:19:25.460]   It's like we've run out of public data.
[00:19:25.460 --> 00:19:29.060]   We've got to the point where more compute and more data
[00:19:29.060 --> 00:19:30.380]   doesn't equal better model.
[00:19:30.380 --> 00:19:32.900]   Like we're at diminishing returns, if not more.
[00:19:32.900 --> 00:19:34.500]   And now it's about like, what are the things
[00:19:34.500 --> 00:19:36.540]   we can do on top of the model, right?
[00:19:36.540 --> 00:19:38.940]   So we kind of have the rise of these composite AI systems.
[00:19:38.940 --> 00:19:40.340]   And this is the best example of being like,
[00:19:40.340 --> 00:19:41.820]   "Oh, one from OpenAI."
[00:19:41.820 --> 00:19:43.660]   She's like, "Oh, we're going to do a bunch of stuff
[00:19:43.660 --> 00:19:46.500]   on top of the model, build a bunch of systems,
[00:19:46.500 --> 00:19:48.460]   bunch of RAG systems, bunch of training,
[00:19:48.460 --> 00:19:50.660]   so it can get better at planning."
[00:19:50.660 --> 00:19:52.460]   So we're going to use these different models
[00:19:52.460 --> 00:19:54.020]   in different ways to generate these plans
[00:19:54.020 --> 00:19:56.460]   and then execute through these plans to drive and answer for you.
[00:19:56.460 --> 00:19:57.700]   So we have some concept like,
[00:19:57.700 --> 00:19:59.300]   we're basically taking chain of thought
[00:19:59.300 --> 00:20:00.780]   and we're going to actually build a system
[00:20:00.780 --> 00:20:01.860]   mode of chain of thought, right?
[00:20:01.860 --> 00:20:04.220]   It's basically what O1 is at the end of the day.
[00:20:04.220 --> 00:20:06.180]   And so we're now in this phase of,
[00:20:06.180 --> 00:20:07.700]   the models will still keep getting better,
[00:20:07.700 --> 00:20:09.260]   but they're surely going to get cheaper
[00:20:09.260 --> 00:20:10.540]   faster than they get better now.
[00:20:10.540 --> 00:20:11.940]   And now the question is,
[00:20:11.940 --> 00:20:14.540]   how can we use the models plus the data we have
[00:20:14.540 --> 00:20:17.300]   and build systems that actually result in better results
[00:20:17.300 --> 00:20:18.980]   and can tackle net new problems?
[00:20:18.980 --> 00:20:21.460]   Because unless we have like a breakthrough in architecture
[00:20:21.460 --> 00:20:26.420]   or we somehow stubble across like another massive set of data
[00:20:26.420 --> 00:20:28.580]   like new tokens that are trainable,
[00:20:28.580 --> 00:20:29.940]   like where do we get the next level
[00:20:29.940 --> 00:20:31.900]   of like intelligence bump from?
[00:20:31.900 --> 00:20:34.940]   And so one way to think it was like the rise of AI engineering,
[00:20:34.940 --> 00:20:36.540]   another way to think about it is just the rise of like
[00:20:36.540 --> 00:20:39.340]   the fact that, hey, it's now we're in systems problem land.
[00:20:39.340 --> 00:20:42.020]   We're very much more similar to like the rise of microservices
[00:20:42.020 --> 00:20:43.780]   and service orientated architecture
[00:20:43.780 --> 00:20:46.260]   in, you know, last decade or two decades ago
[00:20:46.260 --> 00:20:48.220]   in terms of like AI compute.
[00:20:48.220 --> 00:20:49.500]   - Yeah, so fascinating.
[00:20:49.500 --> 00:20:54.300]   Like if we continue to able to get models even smaller
[00:20:54.300 --> 00:20:56.900]   and able to have the leverage able to call multiple models
[00:20:56.900 --> 00:20:58.420]   like the MOE theme, right?
[00:20:58.420 --> 00:21:01.940]   But in a much more larger and dynamic scale,
[00:21:01.940 --> 00:21:05.380]   'cause today MOEs are more like a fixed model thing.
[00:21:05.380 --> 00:21:07.460]   Like if I think of models almost like the same way
[00:21:07.460 --> 00:21:09.900]   I think of MPM packages, for example,
[00:21:09.900 --> 00:21:12.420]   I can have a thousand MPM packages in my app.
[00:21:12.420 --> 00:21:14.180]   I'm just using a bunch of these as a calls
[00:21:14.180 --> 00:21:15.700]   or something in that nature.
[00:21:15.700 --> 00:21:17.820]   Maybe one day I'll think of all my models
[00:21:17.820 --> 00:21:19.940]   as like an MPM package installed
[00:21:19.940 --> 00:21:22.460]   and I have a 500 models.
[00:21:22.460 --> 00:21:25.100]   (both laughing)
[00:21:25.100 --> 00:21:27.820]   My app just calls whatever they wants to, right?
[00:21:27.820 --> 00:21:28.700]   - It'll be fascinating.
[00:21:28.700 --> 00:21:31.260]   I don't think we even got to even close to that
[00:21:31.260 --> 00:21:35.260]   sort of like level of like understanding or and from,
[00:21:35.260 --> 00:21:37.540]   but I feel like we can get there soon
[00:21:37.540 --> 00:21:39.980]   where like the models can get so much cheaper.
[00:21:39.980 --> 00:21:41.780]   You don't need a full model everywhere.
[00:21:41.780 --> 00:21:44.460]   Like actually people just need a couple layers.
[00:21:44.460 --> 00:21:46.500]   You know, that's all the research recently is all like,
[00:21:46.500 --> 00:21:47.740]   you know, you just need a small layers
[00:21:47.740 --> 00:21:50.300]   and be activated for most calls.
[00:21:50.300 --> 00:21:51.700]   - Yeah, and this is something we actually learned.
[00:21:51.700 --> 00:21:52.540]   It's so interesting.
[00:21:52.540 --> 00:21:53.860]   It's going through a lot of the same arc
[00:21:53.860 --> 00:21:56.300]   of like we had with like AlexaNet, you know,
[00:21:56.300 --> 00:21:59.180]   in 2017, 2018 is like, oh, we can do all these things.
[00:21:59.180 --> 00:22:00.780]   See if you just have the first couple layers
[00:22:00.780 --> 00:22:03.540]   and you can quantize, you can reduce the encoding.
[00:22:03.540 --> 00:22:05.580]   There were so many options you could do to reduce it
[00:22:05.580 --> 00:22:06.420]   with AlexaNet.
[00:22:06.420 --> 00:22:07.740]   Now we're like, oh, it actually turns out
[00:22:07.740 --> 00:22:09.780]   all those things kind of broadly generalized also
[00:22:09.780 --> 00:22:12.220]   to like this LM Kosker problem.
[00:22:12.220 --> 00:22:13.700]   One point I'd make, by the way,
[00:22:13.700 --> 00:22:15.780]   just to talk about like your MOE point
[00:22:15.780 --> 00:22:17.860]   around like model composition is,
[00:22:17.860 --> 00:22:19.780]   and we're starting to see the beginnings of this,
[00:22:19.780 --> 00:22:22.220]   but not in like a generalized way.
[00:22:22.220 --> 00:22:23.900]   And I think one of the interesting things
[00:22:23.900 --> 00:22:25.140]   that came out near the end of this year
[00:22:25.140 --> 00:22:28.580]   from anthropic and cloud was the model context provider
[00:22:28.580 --> 00:22:29.420]   protocol, which is like,
[00:22:29.420 --> 00:22:32.020]   how do I have a pluggable way to provide contacts
[00:22:32.020 --> 00:22:34.100]   into like the usage of cloud, right?
[00:22:34.100 --> 00:22:36.700]   And so it's certainly not a system.
[00:22:36.700 --> 00:22:38.260]   It's not a full-fledged protocol,
[00:22:38.260 --> 00:22:39.860]   but it's beginnings of thinking about,
[00:22:39.860 --> 00:22:43.100]   well, can we have version zero, zero, zero, one
[00:22:43.100 --> 00:22:46.060]   of what is a protocol that allows you to composite
[00:22:46.060 --> 00:22:48.700]   a bunch of different like intelligence systems together,
[00:22:48.700 --> 00:22:50.180]   both in provide them like context,
[00:22:50.180 --> 00:22:52.860]   but potentially also like guardrails and enforcement.
[00:22:52.860 --> 00:22:54.940]   And that's like a missing piece for missing,
[00:22:54.940 --> 00:22:57.540]   but it's also a sign of the future of these sort of what,
[00:22:57.540 --> 00:23:01.060]   what does this like rise of composite AI systems even mean?
[00:23:01.060 --> 00:23:03.140]   >> Well, one thing I feel like after reading
[00:23:03.140 --> 00:23:05.500]   all this sort of like the protocol
[00:23:05.500 --> 00:23:07.700]   that anthropopically come from,
[00:23:07.700 --> 00:23:09.900]   is not even about the protocol itself.
[00:23:09.900 --> 00:23:12.820]   Like I feel like that is of course interesting.
[00:23:12.820 --> 00:23:14.260]   And it was fun, of course,
[00:23:14.260 --> 00:23:16.060]   you're seeing people adopting that protocol already,
[00:23:16.060 --> 00:23:16.900]   right?
[00:23:16.900 --> 00:23:17.740]   People are building around it,
[00:23:17.740 --> 00:23:19.180]   cloud for everything adopted it.
[00:23:19.180 --> 00:23:23.020]   It's almost like how all the hot AI projects today
[00:23:23.020 --> 00:23:25.860]   have all come from like random places,
[00:23:25.860 --> 00:23:29.380]   random people, but they all caught fire
[00:23:29.380 --> 00:23:31.060]   and some of them keep growing, some of them didn't,
[00:23:31.060 --> 00:23:35.860]   but there's almost like a demand for protocols as well.
[00:23:35.860 --> 00:23:37.740]   We have demanding a new architecture,
[00:23:37.740 --> 00:23:39.860]   but also demanding a new protocols
[00:23:39.860 --> 00:23:41.420]   to solve a bunch of these questions.
[00:23:41.420 --> 00:23:42.740]   And it truly doesn't matter.
[00:23:42.740 --> 00:23:44.580]   You don't have to be only open AI
[00:23:44.580 --> 00:23:45.820]   that can come with this anymore.
[00:23:45.820 --> 00:23:47.340]   You know, that's actually that's the fun part
[00:23:47.340 --> 00:23:50.060]   for start of that opportunity is literally,
[00:23:50.060 --> 00:23:53.220]   if you have a way to solve a real problem
[00:23:53.220 --> 00:23:56.260]   and you don't think of it as just a single vendor thing,
[00:23:56.260 --> 00:23:59.460]   you set up a protocol and you see real applications
[00:23:59.460 --> 00:24:01.260]   around it and you solve them in real,
[00:24:01.260 --> 00:24:03.420]   people will start adopted everywhere.
[00:24:03.420 --> 00:24:04.900]   This is the fascinating part.
[00:24:04.900 --> 00:24:07.740]   AI funding, everything is already crazy busy,
[00:24:07.740 --> 00:24:11.860]   but if you have a real breakthrough, it will go wild
[00:24:11.860 --> 00:24:14.500]   and it doesn't have to come from like a certain big places.
[00:24:14.500 --> 00:24:16.380]   - Absolutely, this is the opportunity.
[00:24:16.380 --> 00:24:18.060]   I think the other thing is like so many people are gonna
[00:24:18.060 --> 00:24:21.260]   like the broadening out of who's actually deploying AI
[00:24:21.260 --> 00:24:22.940]   will drive these needs, right?
[00:24:22.940 --> 00:24:25.940]   Like as we try to drive sort of LMs
[00:24:25.940 --> 00:24:28.060]   and these new interface changes and these new capabilities
[00:24:28.060 --> 00:24:29.620]   and into the broad base of software,
[00:24:29.620 --> 00:24:31.100]   like we're gonna have to develop these things
[00:24:31.100 --> 00:24:33.220]   and it will be, this is opportunity, right?
[00:24:33.220 --> 00:24:35.660]   Like it's not all gonna be captured by open AI.
[00:24:35.660 --> 00:24:37.380]   It's not all gonna be captured by anthropic.
[00:24:37.380 --> 00:24:38.940]   They will capture some of the pie,
[00:24:38.940 --> 00:24:41.660]   but the broad base pie is still gonna be all in the app layer,
[00:24:41.660 --> 00:24:45.380]   which is where like intelligence and data
[00:24:45.380 --> 00:24:47.980]   meets actual human users that create value.
[00:24:47.980 --> 00:24:52.300]   - It's so fascinating to see, like this space is so crowded,
[00:24:52.300 --> 00:24:53.860]   but still so early.
[00:24:53.860 --> 00:24:55.020]   - It's so early.
[00:24:55.020 --> 00:24:59.140]   - Yeah, the real system thinkers has a real opportunity, right?
[00:24:59.140 --> 00:25:00.700]   That's the most exciting part.
[00:25:00.700 --> 00:25:04.100]   So I guess we should move on to our spicy hot takes for,
[00:25:04.100 --> 00:25:09.100]   I don't know, 2025, we're not going like 2030 or 35, I think.
[00:25:13.700 --> 00:25:16.460]   - Do you wanna start, what you think will happen next year?
[00:25:16.460 --> 00:25:17.300]   - Oh, absolutely.
[00:25:17.300 --> 00:25:19.620]   And it's a build on what I think happened last year.
[00:25:19.620 --> 00:25:21.980]   I think AI, doomerism is dead,
[00:25:21.980 --> 00:25:24.420]   and I think it's gonna finally get kicked out the door
[00:25:24.420 --> 00:25:26.660]   at the end of next year.
[00:25:26.660 --> 00:25:28.700]   If there was one thing we started 2024 with,
[00:25:28.700 --> 00:25:31.980]   it was just obscene levels of AI's
[00:25:31.980 --> 00:25:33.660]   gonna need all of us, the world's over.
[00:25:33.660 --> 00:25:34.940]   It's gonna take all our jobs.
[00:25:34.940 --> 00:25:37.940]   It's going to blow up all the nukes and silo.
[00:25:37.940 --> 00:25:41.100]   - You ever like go friends, you know,
[00:25:41.100 --> 00:25:44.500]   all the wives, sell employees, yeah, whatever.
[00:25:44.500 --> 00:25:45.780]   - Exactly, exactly.
[00:25:45.780 --> 00:25:46.820]   Everything's over.
[00:25:46.820 --> 00:25:48.860]   Everyone in Hollywood is gonna get fired.
[00:25:48.860 --> 00:25:50.260]   We're not gonna need writers,
[00:25:50.260 --> 00:25:51.460]   we're not gonna need anything anymore.
[00:25:51.460 --> 00:25:54.140]   And yet, you know, I think if there's one prediction
[00:25:54.140 --> 00:25:55.580]   for next year, I think this is dead.
[00:25:55.580 --> 00:25:57.380]   We stopped really talking about it.
[00:25:57.380 --> 00:25:59.580]   There'll still be people that will be trying
[00:25:59.580 --> 00:26:02.700]   to sell the viewpoint because they make money off of it.
[00:26:02.700 --> 00:26:04.900]   But broadly, I think the rest of the societal conclusion
[00:26:04.900 --> 00:26:06.260]   that those of us who have been spending
[00:26:06.260 --> 00:26:07.740]   any time with these systems, like, oh, actually,
[00:26:07.740 --> 00:26:09.900]   the limitations here are actually quite huge.
[00:26:09.900 --> 00:26:12.180]   We made a thing that's better at predicting
[00:26:12.180 --> 00:26:14.860]   what we were trying to do, which will make us faster,
[00:26:14.860 --> 00:26:18.100]   but it doesn't replace like ingenuity and value of humanity.
[00:26:18.100 --> 00:26:19.660]   And if only it's actually just turns out
[00:26:19.660 --> 00:26:21.220]   to be like a slightly better paintbrush.
[00:26:21.220 --> 00:26:23.220]   And that's pretty fantastic.
[00:26:23.220 --> 00:26:26.020]   So that's my prediction for 2025.
[00:26:26.020 --> 00:26:26.860]   It's kind of spicy.
[00:26:26.860 --> 00:26:27.980]   And I think as a result of that,
[00:26:27.980 --> 00:26:30.260]   it's because more people actually be exposed
[00:26:30.260 --> 00:26:33.620]   to what this incarnation of artificial intelligence is
[00:26:33.620 --> 00:26:36.020]   because they'll be broad-based, more available.
[00:26:36.020 --> 00:26:38.900]   And so as a result of that, they'll see where it's good.
[00:26:38.900 --> 00:26:41.140]   And also, it's extreme weaknesses,
[00:26:41.140 --> 00:26:44.420]   which are many that we haven't talked about,
[00:26:44.420 --> 00:26:45.860]   but they really exist.
[00:26:45.860 --> 00:26:47.500]   How will you tell them? What's your big prediction?
[00:26:47.500 --> 00:26:49.380]   I can't wait to hear.
[00:26:49.380 --> 00:26:51.620]   - I guess maybe this is such a recency bias
[00:26:51.620 --> 00:26:53.780]   because of my episode we recorded today.
[00:26:53.780 --> 00:26:57.540]   But, you know, it's gonna maybe steal a little bit
[00:26:57.540 --> 00:27:00.820]   of what our guest today talks about.
[00:27:00.820 --> 00:27:03.020]   It's basically this idea that Kubernetes
[00:27:03.020 --> 00:27:05.580]   is no longer gonna be like what everyone's attention is.
[00:27:05.580 --> 00:27:08.340]   But I don't think it has been an attention at all anymore,
[00:27:08.340 --> 00:27:11.300]   but really it's like 2025.
[00:27:11.300 --> 00:27:12.860]   I feel like even 2024,
[00:27:12.860 --> 00:27:15.740]   I already kind of sensed that people have been moving away
[00:27:15.740 --> 00:27:17.740]   of really wanting to even dig
[00:27:17.740 --> 00:27:20.740]   and even want to know what's happening in that layer, right?
[00:27:20.740 --> 00:27:23.580]   Like, it's just a thing to run my software.
[00:27:23.580 --> 00:27:25.500]   It is not really that perfectly able
[00:27:25.500 --> 00:27:27.660]   to like hide all complexity anyways.
[00:27:27.660 --> 00:27:28.900]   But there's no better tooling out there
[00:27:28.900 --> 00:27:30.420]   so I'm just stuck there.
[00:27:30.420 --> 00:27:33.340]   So I feel like Infra, you know, next year,
[00:27:33.340 --> 00:27:36.140]   it's almost like the rise of Gen Z Infra, you know what?
[00:27:36.140 --> 00:27:36.980]   (laughs)
[00:27:36.980 --> 00:27:39.660]   And the way I describe it, I don't know.
[00:27:39.660 --> 00:27:40.660]   It's not a better term.
[00:27:40.660 --> 00:27:42.500]   I don't even know how to describe it, right?
[00:27:42.500 --> 00:27:45.100]   It's like there's a sort of age group associated
[00:27:45.100 --> 00:27:46.820]   with like all the infrastructure they would care like.
[00:27:46.820 --> 00:27:48.420]   It has nothing to do with Kubernetes.
[00:27:48.420 --> 00:27:49.980]   There's nothing to do with it.
[00:27:49.980 --> 00:27:52.860]   I bet they'd maybe not have logged into Amazon themselves,
[00:27:52.860 --> 00:27:53.700]   you know?
[00:27:53.700 --> 00:27:56.260]   Like they haven't even seen an Amazon dashboard at all.
[00:27:56.260 --> 00:27:57.660]   It's so fascinating, you know?
[00:27:57.660 --> 00:27:58.500]   It's so fascinating.
[00:27:58.500 --> 00:28:02.940]   Like these folks have largely just reduced their problem
[00:28:02.940 --> 00:28:05.780]   to a single, even a CLI is already complicated.
[00:28:05.780 --> 00:28:07.060]   Like deploy.
[00:28:07.060 --> 00:28:07.900]   Oh, wow.
[00:28:07.900 --> 00:28:09.540]   And you still need to open up my little Unix,
[00:28:09.540 --> 00:28:11.140]   like little terminal.
[00:28:11.140 --> 00:28:12.620]   It's as far as they will go.
[00:28:12.620 --> 00:28:14.660]   (laughs)
[00:28:14.660 --> 00:28:16.620]   Everything is just a GUI
[00:28:16.620 --> 00:28:20.060]   and some sort of dashboardy thing and that's it, right?
[00:28:20.060 --> 00:28:24.020]   And the promise of all these nicer, simpler abstraction
[00:28:24.020 --> 00:28:27.100]   and problems and they try to fit everything they could
[00:28:27.100 --> 00:28:28.180]   in that world.
[00:28:28.180 --> 00:28:30.660]   I just thought it was fascinating, you know?
[00:28:30.660 --> 00:28:32.620]   Like the old school of us, I feel like, you know,
[00:28:32.620 --> 00:28:33.900]   you gotta learn more.
[00:28:33.900 --> 00:28:36.700]   You gotta know what's Kubernetes, right?
[00:28:36.700 --> 00:28:38.620]   I remember when back in the day, we're an engineer,
[00:28:38.620 --> 00:28:40.180]   we always have to answer this question,
[00:28:40.180 --> 00:28:41.820]   interview question, right?
[00:28:41.820 --> 00:28:43.580]   The most famous one I think everybody asks is like,
[00:28:43.580 --> 00:28:46.140]   tell me what happens when you go to a URL or something, right?
[00:28:46.140 --> 00:28:46.980]   You know?
[00:28:46.980 --> 00:28:48.540]   (laughs)
[00:28:48.540 --> 00:28:51.340]   You know, it used to be real interview questions, right?
[00:28:51.340 --> 00:28:53.380]   Tell me as much details, right?
[00:28:53.380 --> 00:28:56.020]   The router has to do this, look up, right?
[00:28:56.020 --> 00:28:58.380]   You know, my browser has a DNS cache.
[00:28:58.380 --> 00:29:00.020]   It's like, I don't know, man.
[00:29:00.020 --> 00:29:02.900]   Like, you know, it just feels like we're just like grumpy.
[00:29:02.900 --> 00:29:04.100]   (laughs)
[00:29:04.100 --> 00:29:06.660]   People still care about our hardware circuits work, right?
[00:29:06.660 --> 00:29:09.380]   On gates and logics and stuff, like, you know?
[00:29:09.380 --> 00:29:11.860]   Real computer science, I don't even care about them anymore.
[00:29:11.860 --> 00:29:14.940]   And to some degree, like, I think 2025,
[00:29:14.940 --> 00:29:17.620]   it's almost like the sort of moving away
[00:29:17.620 --> 00:29:19.580]   from that lower level.
[00:29:19.580 --> 00:29:22.460]   And we had to start embracing the higher levels anymore.
[00:29:22.460 --> 00:29:24.940]   'Cause that's where people mostly feel like,
[00:29:24.940 --> 00:29:27.660]   all these platforms are getting so much mature now,
[00:29:27.660 --> 00:29:29.060]   right, for cells of the world.
[00:29:29.060 --> 00:29:31.180]   They're getting quite mature and do quite a lot of stuff now.
[00:29:31.180 --> 00:29:34.620]   And so they're gonna be companies that are fully running for cell,
[00:29:34.620 --> 00:29:36.020]   fully run on cloud for work,
[00:29:36.020 --> 00:29:38.300]   but fully run on some of these managed providers.
[00:29:38.300 --> 00:29:40.780]   And they don't really even wanna care about anything else.
[00:29:40.780 --> 00:29:42.900]   In that world, I don't know, man.
[00:29:42.900 --> 00:29:44.660]   I don't know what's gonna happen, to be honest.
[00:29:44.660 --> 00:29:49.740]   But 2025, I feel like we're gonna see more people
[00:29:49.740 --> 00:29:53.060]   just doesn't even want to think about that layer.
[00:29:53.060 --> 00:29:54.780]   And therefore, we're gonna see more people
[00:29:54.780 --> 00:29:56.460]   really just wanna bet the whole company
[00:29:56.460 --> 00:29:57.780]   around this stuff, right?
[00:29:57.780 --> 00:29:58.700]   It's just fascinating.
[00:29:58.700 --> 00:30:01.020]   I didn't really wanna admit this is gonna happen.
[00:30:01.020 --> 00:30:04.020]   Not soon, but I just guess it's coming, right?
[00:30:04.020 --> 00:30:04.860]   - I love it.
[00:30:04.860 --> 00:30:07.620]   Gen Z infrastructure, it's totally true, though.
[00:30:07.620 --> 00:30:10.420]   I mean, I think in, I was having a conversation,
[00:30:10.420 --> 00:30:12.620]   actually Tim was involved, but one of the things I said
[00:30:12.620 --> 00:30:14.700]   is like, I feel like infrastructure is always generational,
[00:30:14.700 --> 00:30:16.420]   but it's more consumer than we realize.
[00:30:16.420 --> 00:30:18.220]   Like we always talk with developer experience
[00:30:18.220 --> 00:30:19.780]   being like this key thing.
[00:30:19.780 --> 00:30:22.580]   And that selling to developers is like a consumer-like sale.
[00:30:22.580 --> 00:30:24.140]   Like initially, at the grassroots, it totally is.
[00:30:24.140 --> 00:30:26.740]   You're selling taste, you're selling identity.
[00:30:26.740 --> 00:30:28.900]   Like one of the things that made GitHub very popular,
[00:30:28.900 --> 00:30:31.900]   you know, I was 18 when GitHub came around
[00:30:31.900 --> 00:30:33.620]   and I got a GitHub mug and it was my,
[00:30:33.620 --> 00:30:35.060]   I carried around the GitHub mug
[00:30:35.060 --> 00:30:36.380]   and it was my entire identity.
[00:30:36.380 --> 00:30:39.420]   And there was a 10-year period where I was hyper-producing
[00:30:39.420 --> 00:30:41.100]   tons of code and writing tons of code
[00:30:41.100 --> 00:30:43.460]   and driving in the bus and then eventually I became
[00:30:43.460 --> 00:30:47.820]   not a code monkey as much and more of like manager,
[00:30:47.820 --> 00:30:50.460]   more of like leader, more of different things, right?
[00:30:50.460 --> 00:30:52.860]   And so one of the things is like, yeah,
[00:30:52.860 --> 00:30:54.100]   there it is generational.
[00:30:54.100 --> 00:30:56.180]   And what each generation wants from the tools
[00:30:56.180 --> 00:30:57.780]   that they use is different.
[00:30:57.780 --> 00:31:00.220]   And old men like Tim and I will sit around and be like,
[00:31:00.220 --> 00:31:01.220]   "Ah, how dare they?"
[00:31:01.220 --> 00:31:03.180]   And they're not gonna be able to like have,
[00:31:03.180 --> 00:31:06.300]   you know, vendor lock-in is gonna be terrible.
[00:31:06.300 --> 00:31:07.780]   But then you look at AWS and you realize,
